,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,7.73 $\pm$ 1.79,72.49 $\pm$ 4.13,71.12 $\pm$ 2.62,79.02 $\pm$ 2.92,63.9 $\pm$ 4.12
1,20,8.73 $\pm$ 2.62,74.27 $\pm$ 1.22,70.68 $\pm$ 1.07,79.41 $\pm$ 0.75,65.51 $\pm$ 1.64
2,30,10.06 $\pm$ 1.26,78.34 $\pm$ 0.79,73.52 $\pm$ 0.85,82.15 $\pm$ 1.03,69.66 $\pm$ 0.66
3,40,9.78 $\pm$ 3.56,74.98 $\pm$ 1.21,70.52 $\pm$ 0.98,79.3 $\pm$ 1.52,66.96 $\pm$ 2.31
4,50,7.65 $\pm$ 2.45,75.68 $\pm$ 2.27,71.94 $\pm$ 1.32,79.86 $\pm$ 1.38,66.62 $\pm$ 2.98
5,60,6.34 $\pm$ 2.87,75.52 $\pm$ 3.43,72.58 $\pm$ 2.41,80.68 $\pm$ 2.85,65.64 $\pm$ 3.99
6,70,10.04 $\pm$ 2.69,78.27 $\pm$ 1.75,74.35 $\pm$ 1.78,82.64 $\pm$ 1.97,69.69 $\pm$ 1.69
7,80,15.05 $\pm$ 4.55,79.43 $\pm$ 2.39,73.91 $\pm$ 1.81,83.06 $\pm$ 2.37,72.41 $\pm$ 3.2
8,90,24.66 $\pm$ 12.14,83.23 $\pm$ 2.2,76.2 $\pm$ 1.55,85.78 $\pm$ 1.59,78.08 $\pm$ 4.51
9,100,26.39 $\pm$ 7.97,83.01 $\pm$ 3.38,76.24 $\pm$ 2.45,85.27 $\pm$ 2.94,78.45 $\pm$ 4.76
