,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,78.78333333333332,0.3720513704076676,78.78 $\pm$ 0.37
1,20,79.90333333333334,0.4305293898859395,79.9 $\pm$ 0.43
2,30,80.67333333333335,0.4041726803676294,80.67 $\pm$ 0.4
3,40,80.11666666666666,0.11085526098877703,80.12 $\pm$ 0.11
4,50,81.04333333333334,0.3184685576665629,81.04 $\pm$ 0.32
5,60,80.32,0.5261812108643429,80.32 $\pm$ 0.53
6,70,72.5,0.5452216674589004,72.5 $\pm$ 0.55
7,80,70.17333333333333,1.3623835322290418,70.17 $\pm$ 1.36
8,90,68.11333333333333,1.3830481633776261,68.11 $\pm$ 1.38
9,100,68.73,2.840504649999126,68.73 $\pm$ 2.84
