,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,46.48 $\pm$ 5.85,86.49 $\pm$ 1.37,77.62 $\pm$ 1.24,87.06 $\pm$ 0.89,86.26 $\pm$ 2.07
1,20,34.53 $\pm$ 5.76,83.13 $\pm$ 2.24,75.06 $\pm$ 1.9,83.94 $\pm$ 2.03,81.4 $\pm$ 2.77
2,30,29.49 $\pm$ 3.35,82.07 $\pm$ 1.08,74.36 $\pm$ 0.93,83.54 $\pm$ 0.9,79.24 $\pm$ 1.63
3,40,27.86 $\pm$ 3.46,82.91 $\pm$ 2.64,75.68 $\pm$ 2.66,84.86 $\pm$ 2.77,78.65 $\pm$ 2.45
4,50,38.9 $\pm$ 2.81,86.99 $\pm$ 0.8,79.14 $\pm$ 1.12,88.19 $\pm$ 1.22,83.55 $\pm$ 0.56
5,60,23.56 $\pm$ 7.48,81.16 $\pm$ 3.4,74.52 $\pm$ 2.8,82.71 $\pm$ 3.3,76.51 $\pm$ 4.1
6,70,20.75 $\pm$ 5.55,82.86 $\pm$ 0.9,77.08 $\pm$ 2.28,84.64 $\pm$ 1.7,77.17 $\pm$ 1.37
7,80,16.59 $\pm$ 4.1,81.62 $\pm$ 1.46,77.92 $\pm$ 2.32,84.76 $\pm$ 1.25,74.75 $\pm$ 2.28
8,90,13.88 $\pm$ 2.78,79.39 $\pm$ 0.72,77.15 $\pm$ 1.2,83.55 $\pm$ 0.62,71.92 $\pm$ 1.57
9,100,11.99 $\pm$ 4.86,79.26 $\pm$ 3.11,77.18 $\pm$ 2.1,83.19 $\pm$ 1.84,71.27 $\pm$ 4.23
