,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,59.96 $\pm$ 14.15,89.88 $\pm$ 2.99,81.24 $\pm$ 3.95,90.09 $\pm$ 2.21,90.12 $\pm$ 3.83
1,20,19.98 $\pm$ 2.51,79.39 $\pm$ 1.52,73.03 $\pm$ 1.14,81.27 $\pm$ 1.74,74.67 $\pm$ 1.96
2,30,22.38 $\pm$ 4.9,81.45 $\pm$ 2.08,74.99 $\pm$ 1.64,82.36 $\pm$ 2.48,76.33 $\pm$ 3.18
3,40,20.28 $\pm$ 3.07,79.43 $\pm$ 1.86,73.91 $\pm$ 1.89,79.83 $\pm$ 3.0,74.85 $\pm$ 2.5
4,50,18.31 $\pm$ 3.13,79.0 $\pm$ 1.78,72.61 $\pm$ 2.15,78.24 $\pm$ 4.67,73.23 $\pm$ 2.54
5,60,19.27 $\pm$ 1.71,79.43 $\pm$ 1.29,72.51 $\pm$ 1.13,76.95 $\pm$ 2.33,74.02 $\pm$ 1.22
6,70,17.62 $\pm$ 2.6,76.01 $\pm$ 10.18,73.68 $\pm$ 1.64,71.72 $\pm$ 2.89,74.61 $\pm$ 1.54
7,80,17.37 $\pm$ 3.55,84.37 $\pm$ 0.49,72.68 $\pm$ 1.86,69.1 $\pm$ 2.53,74.63 $\pm$ 2.14
8,90,18.36 $\pm$ 3.3,85.6 $\pm$ 0.7,72.58 $\pm$ 1.51,68.35 $\pm$ 1.88,75.76 $\pm$ 2.31
9,100,19.72 $\pm$ 2.66,85.79 $\pm$ 0.59,72.75 $\pm$ 2.24,68.88 $\pm$ 3.37,76.24 $\pm$ 1.48
