,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,60.94 $\pm$ 15.61,89.12 $\pm$ 4.47,80.52 $\pm$ 5.27,88.99 $\pm$ 3.84,89.86 $\pm$ 4.87
1,20,18.23 $\pm$ 1.89,77.05 $\pm$ 1.55,70.8 $\pm$ 1.34,77.09 $\pm$ 2.8,72.48 $\pm$ 1.86
2,30,20.77 $\pm$ 3.86,79.53 $\pm$ 2.3,72.63 $\pm$ 2.16,78.61 $\pm$ 3.61,74.77 $\pm$ 2.99
3,40,19.17 $\pm$ 1.88,77.75 $\pm$ 1.85,72.17 $\pm$ 1.7,77.33 $\pm$ 3.1,73.73 $\pm$ 1.84
4,50,17.26 $\pm$ 0.91,78.46 $\pm$ 0.61,71.95 $\pm$ 0.66,77.1 $\pm$ 1.27,72.57 $\pm$ 0.61
5,60,16.11 $\pm$ 0.9,76.65 $\pm$ 2.02,69.42 $\pm$ 1.87,71.62 $\pm$ 1.46,70.84 $\pm$ 1.03
6,70,16.43 $\pm$ 1.82,73.7 $\pm$ 11.76,71.14 $\pm$ 1.58,68.36 $\pm$ 2.4,73.23 $\pm$ 1.38
7,80,17.02 $\pm$ 2.63,83.69 $\pm$ 0.25,70.39 $\pm$ 1.16,66.42 $\pm$ 1.53,73.73 $\pm$ 1.57
8,90,17.91 $\pm$ 2.18,84.99 $\pm$ 0.66,70.01 $\pm$ 0.63,65.54 $\pm$ 0.67,74.82 $\pm$ 1.62
9,100,18.45 $\pm$ 2.76,84.51 $\pm$ 1.56,70.69 $\pm$ 2.22,67.3 $\pm$ 4.08,75.04 $\pm$ 1.53
