,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,12.41 $\pm$ 2.15,79.33 $\pm$ 1.64,76.78 $\pm$ 1.31,84.94 $\pm$ 1.13,70.86 $\pm$ 2.23
1,20,16.89 $\pm$ 2.92,79.43 $\pm$ 1.12,74.63 $\pm$ 0.87,83.95 $\pm$ 0.81,73.09 $\pm$ 1.86
2,30,14.51 $\pm$ 3.99,79.16 $\pm$ 2.86,75.34 $\pm$ 1.35,82.92 $\pm$ 2.23,71.24 $\pm$ 3.68
3,40,14.38 $\pm$ 0.89,79.45 $\pm$ 1.7,75.76 $\pm$ 1.68,83.17 $\pm$ 2.18,72.23 $\pm$ 0.19
4,50,15.5 $\pm$ 0.62,80.33 $\pm$ 0.99,75.86 $\pm$ 1.63,83.71 $\pm$ 1.43,72.94 $\pm$ 1.18
5,60,17.54 $\pm$ 1.91,80.24 $\pm$ 2.93,74.38 $\pm$ 2.9,80.18 $\pm$ 2.56,73.71 $\pm$ 2.68
6,70,17.12 $\pm$ 2.36,79.27 $\pm$ 5.25,75.86 $\pm$ 1.72,74.64 $\pm$ 2.35,75.41 $\pm$ 2.02
7,80,23.05 $\pm$ 2.93,86.5 $\pm$ 1.06,78.17 $\pm$ 1.23,76.49 $\pm$ 1.53,79.5 $\pm$ 1.59
8,90,21.6 $\pm$ 4.3,86.89 $\pm$ 0.94,76.42 $\pm$ 2.86,73.32 $\pm$ 4.03,78.91 $\pm$ 2.62
9,100,26.99 $\pm$ 6.53,87.54 $\pm$ 1.48,77.28 $\pm$ 1.61,74.57 $\pm$ 2.1,81.29 $\pm$ 2.81
