,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,78.67,0.741484996476664,78.67 $\pm$ 0.74
1,20,79.45333333333333,0.7095695095541259,79.45 $\pm$ 0.71
2,30,80.31,0.32135131346653606,80.31 $\pm$ 0.32
3,40,80.62666666666667,0.7445953412573991,80.63 $\pm$ 0.74
4,50,80.62666666666667,0.3851695153507805,80.63 $\pm$ 0.39
5,60,80.71,0.32893768406796975,80.71 $\pm$ 0.33
6,70,81.81,0.014142135623724787,81.81 $\pm$ 0.01
7,80,81.74666666666666,0.21296843793284093,81.75 $\pm$ 0.21
8,90,81.75333333333333,0.19067132861433206,81.75 $\pm$ 0.19
9,100,81.80333333333333,0.23299976156401425,81.8 $\pm$ 0.23
