Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	15.4473	81.6539	78.6113	86.4975	73.9931
10	imagenet	62.0719	89.0023	79.5750	88.2900	90.5250
10	lsun	58.2008	88.8713	78.9050	88.9320	89.8720
20	svhn	20.9980	81.0121	75.7299	84.9818	75.7009
20	imagenet	16.1129	75.0373	68.9600	73.1562	70.1571
20	lsun	18.6061	78.9193	72.6250	80.1564	73.7253
30	svhn	18.7573	82.2972	77.0905	85.7398	75.0246
30	imagenet	19.5278	79.0725	72.0900	77.3318	74.0813
30	lsun	21.7185	81.6844	75.3850	82.6769	76.1294
40	svhn	13.1230	80.8466	77.6505	85.4395	72.2084
40	imagenet	16.8516	76.7897	69.8100	73.1754	71.3808
40	lsun	16.3335	77.5460	71.2550	75.6910	71.4497
50	svhn	15.6480	79.7687	74.8566	82.9852	72.7646
50	imagenet	17.9770	78.8590	72.5700	78.8047	73.4203
50	lsun	17.9639	78.1181	72.3550	79.5369	73.3641
60	svhn	18.8659	82.5852	76.6757	80.6088	76.2226
60	imagenet	15.3924	79.5092	71.9900	72.4959	72.0984
60	lsun	17.5926	80.8425	73.5950	75.3174	74.1024
70	svhn	20.4236	71.8642	77.0465	75.2870	78.2520
70	imagenet	14.2231	57.0636	68.9550	65.0638	71.4957
70	lsun	15.0936	61.6203	71.5200	67.9256	72.9112
80	svhn	27.1326	87.9955	79.6191	78.1619	81.7324
80	imagenet	13.9944	83.7866	68.8300	64.3559	71.8497
80	lsun	13.5753	84.1042	70.2200	65.7730	72.1826
90	svhn	23.1002	87.7616	78.0777	75.1846	80.0950
90	imagenet	15.0665	84.8491	69.3500	64.6697	72.9899
90	lsun	13.7921	84.9372	70.4400	65.7200	72.7066
100	svhn	18.9971	87.1268	76.4735	72.3213	78.6606
100	imagenet	14.5428	85.1356	68.1900	63.2907	72.9592
100	lsun	15.9516	85.6422	70.0550	65.1310	74.1805
