Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	10.8006	78.3294	76.0442	84.4616	69.0405
10	imagenet	41.2876	83.7091	74.5950	84.6716	83.5955
10	lsun	43.5820	86.8367	78.0000	88.1672	85.5547
20	svhn	14.4643	78.6015	74.5408	83.8576	71.5122
20	imagenet	20.7031	78.8099	72.1250	79.4832	74.6982
20	lsun	23.4989	81.4440	74.5750	83.7313	77.3956
30	svhn	9.1625	75.3906	73.7977	80.2835	66.2529
30	imagenet	16.7752	76.9595	70.3050	74.9746	71.4913
30	lsun	16.7352	78.8009	72.8150	79.1868	72.5405
40	svhn	14.9349	80.4327	76.0563	83.8391	72.4793
40	imagenet	21.4654	80.3399	73.7750	80.6334	75.8771
40	lsun	23.8344	81.9609	75.5050	82.7239	77.3798
50	svhn	14.6777	79.4990	74.5633	82.4350	71.5851
50	imagenet	17.8245	77.5993	71.0400	76.7507	72.2146
50	lsun	22.2957	81.4878	75.3550	83.2066	76.2676
60	svhn	18.9222	82.0089	76.1790	83.0786	74.9110
60	imagenet	15.5538	75.2253	67.5850	69.5643	69.5710
60	lsun	18.6081	77.7230	70.9500	75.2888	72.4915
70	svhn	15.0539	83.3345	77.0985	77.1389	74.2036
70	imagenet	18.6827	82.1501	72.6150	70.6875	74.8717
70	lsun	21.1971	83.6284	75.4750	74.9338	76.6373
80	svhn	20.3929	85.8470	78.2884	76.8260	78.1482
80	imagenet	20.3987	83.9440	71.6100	68.0185	75.6945
80	lsun	22.1079	85.0566	74.7250	71.9189	77.4065
90	svhn	25.9479	87.3126	78.7936	77.0512	81.3496
90	imagenet	18.2995	84.2666	69.8300	65.6602	74.5551
90	lsun	19.8398	85.2950	73.6750	69.9789	76.2835
100	svhn	34.9910	89.5236	79.5260	77.3799	85.1953
100	imagenet	20.4392	86.0246	70.3000	65.6947	76.6177
100	lsun	21.5341	86.5655	72.6600	68.2008	77.5478
