Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	10.9926	78.0212	75.6778	83.8677	69.5449
10	imagenet	79.4717	94.6463	87.3950	93.9945	95.4689
10	lsun	78.1038	93.9453	86.8050	93.1827	94.9343
20	svhn	15.2051	78.6740	73.6064	83.0099	72.0616
20	imagenet	17.8611	77.3119	71.3100	78.6234	72.5846
20	lsun	17.8427	77.8017	71.8800	79.9167	72.8813
30	svhn	15.6007	79.7968	75.1400	82.7349	72.4517
30	imagenet	25.9931	82.5447	75.5050	83.5311	78.7305
30	lsun	28.6729	83.8745	76.7800	85.2251	80.3291
40	svhn	15.0827	77.0616	73.5590	80.2360	72.0123
40	imagenet	19.1798	76.1157	72.9250	78.1869	73.9255
40	lsun	20.6614	78.7699	74.9800	81.0819	75.7062
50	svhn	16.1640	81.7226	78.1563	85.7012	74.4703
50	imagenet	15.9701	78.9184	72.2350	75.7562	72.0712
50	lsun	14.6593	77.3904	70.1100	71.9873	70.0496
60	svhn	14.8427	76.1110	70.2989	76.8522	69.9904
60	imagenet	17.3705	75.2174	68.6900	72.7879	70.8437
60	lsun	21.6173	79.7139	72.9900	80.2534	75.4796
70	svhn	15.8789	82.6225	73.4328	71.4875	73.7660
70	imagenet	16.3731	81.8895	71.8650	69.3407	73.3185
70	lsun	16.5720	82.7749	74.0550	72.3008	74.2830
80	svhn	21.6103	85.6621	76.6101	74.4728	78.6044
80	imagenet	16.6742	83.3438	70.7400	66.8953	73.6536
80	lsun	16.4223	83.9377	73.0900	69.6044	74.3125
90	svhn	15.7517	85.5909	72.3956	67.7315	75.2791
90	imagenet	20.3754	85.8604	70.8500	66.2962	76.9286
90	lsun	21.4589	86.5786	73.6200	69.3594	78.3013
100	svhn	26.9817	85.9791	75.8341	74.0199	80.0239
100	imagenet	20.3555	82.3717	73.5900	72.9032	75.5303
100	lsun	21.6617	85.1527	75.5400	73.3067	77.0022
