,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
2,10,52.51,93.36,87.83,94.81,90.87
5,20,55.97,94.1,88.56,94.92,92.15
8,30,53.19,93.94,88.55,94.42,91.59
11,40,55.34,94.23,88.97,94.7,91.58
14,50,51.57,93.79,87.9,91.8,90.94
17,60,46.73,93.65,87.13,86.83,90.06
20,70,44.58,92.34,85.38,87.95,88.94
23,80,65.33,95.67,90.62,94.83,94.03
26,90,48.3,93.15,86.93,90.59,90.54
29,100,58.19,95.21,89.61,89.81,92.62
