,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,54.45,93.76,88.39,95.13,91.46
3,20,51.4,93.39,87.62,94.11,91.12
6,30,49.13,93.3,87.77,93.71,90.61
9,40,52.07,93.79,88.43,93.77,90.95
12,50,50.11,90.59,87.91,91.72,90.69
15,60,46.76,93.64,86.96,86.54,90.06
18,70,40.05,91.42,83.75,85.12,87.44
21,80,63.03,95.37,90.14,93.96,93.61
24,90,46.85,93.44,86.65,86.56,90.18
27,100,57.88,88.91,89.72,89.97,92.67
