,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
1,10,56.7,94.24,88.99,95.6,92.06
4,20,57.78,94.37,88.81,95.14,92.51
7,30,52.62,93.82,88.45,94.22,91.36
10,40,55.64,94.25,89.0,94.42,91.6
13,50,52.85,94.06,88.52,92.82,91.25
16,60,49.19,93.91,87.44,87.49,90.55
19,70,42.96,91.92,84.37,86.33,88.26
22,80,65.82,95.71,90.41,94.49,94.12
25,90,50.18,93.85,87.43,88.07,90.98
28,100,59.31,95.31,90.01,90.54,92.83
