,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,79.45599999999999,0.8680230411688382,79.46 $\pm$ 0.87
1,20,80.148,0.8610551666414873,80.15 $\pm$ 0.86
2,30,80.588,0.41963793918090975,80.59 $\pm$ 0.42
3,40,80.814,0.36892275614280245,80.81 $\pm$ 0.37
4,50,81.388,0.5633258382144367,81.39 $\pm$ 0.56
5,60,81.542,0.2009378013217003,81.54 $\pm$ 0.2
6,70,82.888,0.3327100840070836,82.89 $\pm$ 0.33
7,80,82.52,0.23807561823924842,82.52 $\pm$ 0.24
8,90,82.39399999999999,0.3302483913662585,82.39 $\pm$ 0.33
9,100,82.074,0.3587533971964605,82.07 $\pm$ 0.36
