,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
1,10,17.29,72.52,66.44,74.0,69.61
4,20,17.94,77.46,71.34,77.58,72.99
7,30,14.81,75.69,69.26,73.59,70.02
10,40,13.91,76.61,69.52,71.11,69.98
13,50,11.55,73.95,66.76,68.14,67.04
16,60,10.6,73.02,63.58,62.11,64.55
19,70,15.95,77.7,70.17,71.86,71.73
22,80,16.72,79.04,71.67,73.66,72.91
25,90,16.6,77.93,70.32,72.23,72.24
28,100,14.71,78.84,69.54,68.43,71.76
