,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,7.47 $\pm$ 5.03,74.73 $\pm$ 3.67,73.55 $\pm$ 1.09,81.47 $\pm$ 1.92,65.05 $\pm$ 5.05
1,20,12.13 $\pm$ 5.5,76.73 $\pm$ 3.26,73.02 $\pm$ 1.62,81.25 $\pm$ 1.83,68.82 $\pm$ 4.66
2,30,14.94 $\pm$ 2.09,79.7 $\pm$ 2.27,75.42 $\pm$ 2.01,83.67 $\pm$ 2.19,72.32 $\pm$ 2.64
3,40,14.53 $\pm$ 7.13,79.29 $\pm$ 3.6,75.12 $\pm$ 2.56,82.04 $\pm$ 4.13,71.68 $\pm$ 5.46
4,50,13.2 $\pm$ 4.57,78.37 $\pm$ 2.45,74.23 $\pm$ 1.63,80.38 $\pm$ 4.22,70.31 $\pm$ 3.69
5,60,14.21 $\pm$ 3.16,80.13 $\pm$ 2.42,75.87 $\pm$ 2.1,81.09 $\pm$ 3.55,72.1 $\pm$ 3.24
6,70,14.07 $\pm$ 1.75,82.66 $\pm$ 1.03,73.38 $\pm$ 2.84,70.48 $\pm$ 3.78,72.97 $\pm$ 1.67
7,80,18.37 $\pm$ 3.62,84.55 $\pm$ 1.15,73.99 $\pm$ 3.5,71.48 $\pm$ 5.21,75.98 $\pm$ 2.6
8,90,13.82 $\pm$ 1.95,74.71 $\pm$ 18.51,69.56 $\pm$ 4.53,65.36 $\pm$ 4.4,72.58 $\pm$ 2.91
9,100,15.6 $\pm$ 5.45,84.1 $\pm$ 1.95,70.21 $\pm$ 7.1,66.72 $\pm$ 6.75,72.76 $\pm$ 6.7
