,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,48.59 $\pm$ 21.22,84.32 $\pm$ 6.66,76.85 $\pm$ 8.0,83.94 $\pm$ 6.86,84.77 $\pm$ 6.43
1,20,32.43 $\pm$ 13.19,81.84 $\pm$ 5.25,74.1 $\pm$ 4.28,82.04 $\pm$ 5.95,79.95 $\pm$ 6.69
2,30,23.38 $\pm$ 8.46,78.73 $\pm$ 3.55,72.69 $\pm$ 2.41,79.7 $\pm$ 3.72,75.96 $\pm$ 4.38
3,40,33.22 $\pm$ 25.8,81.82 $\pm$ 7.37,75.83 $\pm$ 7.06,81.93 $\pm$ 7.42,79.08 $\pm$ 9.12
4,50,22.15 $\pm$ 6.9,78.6 $\pm$ 3.1,72.02 $\pm$ 2.67,77.03 $\pm$ 4.74,75.01 $\pm$ 4.35
5,60,18.71 $\pm$ 1.93,79.63 $\pm$ 1.19,72.77 $\pm$ 1.14,76.32 $\pm$ 2.31,74.14 $\pm$ 1.34
6,70,19.0 $\pm$ 3.21,80.33 $\pm$ 5.93,72.51 $\pm$ 1.75,69.69 $\pm$ 2.32,75.81 $\pm$ 2.38
7,80,23.6 $\pm$ 6.19,85.26 $\pm$ 1.62,73.49 $\pm$ 2.45,70.98 $\pm$ 4.16,78.16 $\pm$ 2.95
8,90,26.53 $\pm$ 7.41,87.05 $\pm$ 1.1,74.65 $\pm$ 2.01,71.65 $\pm$ 4.13,80.27 $\pm$ 2.4
9,100,30.92 $\pm$ 7.58,87.61 $\pm$ 0.82,75.79 $\pm$ 1.77,73.38 $\pm$ 3.71,81.92 $\pm$ 2.05
