,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,21.51,79.85,73.07,83.47,75.54
3,20,16.75,80.3,75.87,85.1,73.84
6,30,10.73,76.59,73.72,81.45,68.09
9,40,12.66,78.19,74.02,79.2,70.52
12,50,10.84,78.1,74.23,81.12,69.56
15,60,15.7,80.15,74.42,78.64,73.2
18,70,15.64,80.22,74.14,78.99,73.22
21,80,8.15,73.59,67.58,66.41,63.86
24,90,12.53,79.32,74.87,79.87,71.27
27,100,12.71,80.21,75.65,77.2,71.91
