,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
2,10,20.9,75.82,68.91,78.35,73.04
5,20,20.09,78.91,72.46,80.36,75.03
8,30,16.31,73.79,70.79,75.8,71.88
11,40,16.6,78.37,71.5,74.8,72.61
14,50,12.7,75.37,69.12,71.81,68.77
17,60,12.24,74.58,65.95,65.1,66.97
20,70,15.64,78.1,71.18,73.61,71.98
23,80,21.24,81.84,74.92,79.24,76.96
26,90,17.86,77.99,69.75,71.53,72.75
29,100,16.82,80.26,72.24,72.35,73.86
