,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,51.81 $\pm$ 20.04,86.84 $\pm$ 5.51,78.88 $\pm$ 7.22,87.19 $\pm$ 5.28,86.69 $\pm$ 5.59
1,20,31.39 $\pm$ 14.0,82.22 $\pm$ 5.97,74.89 $\pm$ 4.85,83.23 $\pm$ 6.58,79.52 $\pm$ 7.66
2,30,26.68 $\pm$ 10.23,82.15 $\pm$ 3.1,75.41 $\pm$ 2.11,83.68 $\pm$ 2.94,78.47 $\pm$ 4.59
3,40,34.48 $\pm$ 24.41,83.53 $\pm$ 6.58,77.07 $\pm$ 6.21,83.9 $\pm$ 6.62,80.37 $\pm$ 8.47
4,50,25.08 $\pm$ 7.88,81.9 $\pm$ 2.82,74.94 $\pm$ 2.01,81.57 $\pm$ 2.75,77.54 $\pm$ 4.43
5,60,20.22 $\pm$ 2.41,81.02 $\pm$ 1.31,74.42 $\pm$ 1.22,79.05 $\pm$ 2.08,75.51 $\pm$ 1.66
6,70,18.95 $\pm$ 3.68,81.3 $\pm$ 4.92,74.11 $\pm$ 2.07,71.77 $\pm$ 2.94,76.12 $\pm$ 2.76
7,80,23.42 $\pm$ 5.73,85.6 $\pm$ 1.66,74.74 $\pm$ 2.17,72.57 $\pm$ 4.01,78.43 $\pm$ 2.99
8,90,26.25 $\pm$ 7.17,82.81 $\pm$ 8.1,75.61 $\pm$ 1.88,72.79 $\pm$ 3.86,80.23 $\pm$ 2.99
9,100,31.42 $\pm$ 7.07,87.98 $\pm$ 0.95,76.99 $\pm$ 1.69,74.99 $\pm$ 3.54,82.2 $\pm$ 2.28
