Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	9.1722	76.9066	76.2893	83.8121	67.3408
10	imagenet	39.0630	82.1230	73.2050	82.1502	82.5394
10	lsun	33.5804	80.2812	72.0000	80.7045	79.9516
20	svhn	10.2190	76.4674	72.1978	79.7679	68.3822
20	imagenet	72.8531	93.8030	84.7800	93.1563	94.5841
20	lsun	62.1830	89.9984	80.5100	88.4132	91.2256
30	svhn	16.8397	79.6968	74.3876	80.8056	73.3405
30	imagenet	17.4016	76.5371	70.0800	76.3814	72.1439
30	lsun	15.2269	76.7540	71.3050	78.3465	70.8638
40	svhn	12.6690	78.9535	74.3830	81.2421	70.6867
40	imagenet	14.7172	75.4486	68.8950	71.9719	69.7343
40	lsun	14.8125	76.7779	70.6950	75.2710	70.5024
50	svhn	14.2182	79.4901	75.3568	79.2803	71.5401
50	imagenet	15.0680	77.6888	69.8150	70.3511	70.5348
50	lsun	16.4220	79.3945	72.4050	74.4862	72.6935
60	svhn	17.5561	82.7485	77.2002	82.7111	75.6572
60	imagenet	14.8014	77.6622	69.1950	69.2104	70.2822
60	lsun	16.6296	79.6440	72.5550	74.4853	72.7436
70	svhn	14.2757	83.7953	73.9385	70.4324	74.0358
70	imagenet	13.3644	82.4767	68.9300	64.7726	71.5063
70	lsun	15.5589	83.8457	72.9550	69.3544	74.2884
80	svhn	13.7984	84.7010	71.4873	66.9125	73.4662
80	imagenet	16.2129	84.8082	69.9550	65.4686	74.5111
80	lsun	16.3318	85.2496	72.2800	67.9076	75.2450
90	svhn	17.1329	86.9249	72.1584	66.9389	76.2761
90	imagenet	19.1741	87.0509	70.7900	65.6806	77.3267
90	lsun	19.9409	87.3812	72.6750	67.6072	77.7939
100	svhn	14.1252	85.0624	70.7816	65.8626	73.6823
100	imagenet	17.1348	83.1816	71.6000	68.3311	74.7886
100	lsun	16.9764	85.6898	71.1350	66.4327	75.1910
