Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	7.1878	74.0069	73.9127	81.5560	63.8502
10	imagenet	66.6571	90.9101	82.2150	90.0368	92.0837
10	lsun	68.0406	92.4772	83.6250	92.5282	92.8935
20	svhn	20.8185	81.5733	75.8193	85.2175	75.9757
20	imagenet	14.0701	72.1120	66.2750	70.3100	67.5719
20	lsun	14.8708	75.2483	69.6150	76.6950	69.8641
30	svhn	11.4237	73.6101	69.9652	78.6023	66.6645
30	imagenet	13.7077	71.8243	66.4750	71.5100	66.9050
30	lsun	16.7826	76.3542	70.7750	78.5435	71.0676
40	svhn	21.6433	83.2797	77.4648	85.7432	77.6390
40	imagenet	13.7433	74.2067	67.4950	69.8136	67.9113
40	lsun	16.8789	77.4806	70.9800	75.1230	71.8334
50	svhn	17.5119	81.3500	75.1010	82.0934	74.6822
50	imagenet	15.8581	78.7497	72.6000	78.0872	72.6140
50	lsun	17.8651	80.3259	74.1950	80.4037	74.5028
60	svhn	17.7652	81.9964	77.3918	86.3424	74.8619
60	imagenet	14.8247	74.4449	66.5750	67.0504	67.9864
60	lsun	18.8652	76.7557	70.4200	76.9915	72.5317
70	svhn	15.2767	84.1923	75.3328	72.3461	74.7267
70	imagenet	14.6519	82.4855	68.3950	64.3689	71.9703
70	lsun	17.2857	83.9055	72.1800	68.6521	74.9787
80	svhn	17.3135	83.9367	77.1115	75.9359	75.8578
80	imagenet	21.5978	84.0382	74.0300	72.0079	76.6095
80	lsun	26.1238	85.7440	76.6300	76.0900	79.2512
90	svhn	14.0198	83.7200	71.8862	67.5266	73.1533
90	imagenet	22.8268	85.9760	74.5150	71.2427	77.8353
90	lsun	26.0545	87.1312	76.9900	74.7110	79.6116
100	svhn	20.3716	86.6025	76.2522	72.5129	78.0860
100	imagenet	23.9870	86.7310	74.0150	70.0396	78.4772
100	lsun	28.5573	88.1113	77.7100	74.9151	80.8933
