Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	9.6303	76.2186	73.6587	82.4690	67.1892
10	imagenet	31.0687	78.3249	71.2750	76.7487	78.4317
10	lsun	31.9633	81.7649	73.9350	83.0318	80.3558
20	svhn	7.1574	76.1093	72.1187	80.6858	66.6165
20	imagenet	30.1984	81.6957	73.8500	82.6486	79.5427
20	lsun	34.0939	84.8002	77.0400	86.6678	82.1859
30	svhn	2.0545	71.6699	69.3557	77.6891	60.9647
30	imagenet	28.7337	79.2982	71.6000	79.5422	77.2263
30	lsun	36.9967	85.1244	76.8250	86.6242	82.8003
40	svhn	1.4957	63.1231	61.9530	64.7592	54.5915
40	imagenet	57.9241	89.8013	80.9500	89.9688	89.6736
40	lsun	63.4073	91.3072	82.4900	91.0666	90.9955
50	svhn	1.8345	69.5287	66.9335	73.4699	59.5266
50	imagenet	35.9054	83.0280	75.5150	83.7295	82.0913
50	lsun	34.8330	83.7129	75.7000	82.9637	81.7726
60	svhn	8.4761	76.5895	71.7678	77.3723	67.2878
60	imagenet	44.4708	86.6396	77.4000	85.6004	86.0574
60	lsun	51.5947	88.4072	78.8500	87.0773	88.2695
70	svhn	1.3989	73.0408	70.8635	72.2727	60.3600
70	imagenet	52.7988	88.7757	80.0450	86.7866	85.8163
70	lsun	55.1480	89.4451	81.3600	87.3495	86.4393
80	svhn	3.2530	72.0326	70.8560	72.5265	60.1799
80	imagenet	31.7855	87.7384	80.2150	86.3283	83.2652
80	lsun	31.9711	86.8327	81.7900	87.5411	84.0482
90	svhn	1.3628	64.1225	70.1478	69.8224	59.1819
90	imagenet	42.2659	88.0738	80.2450	85.8490	83.1923
90	lsun	41.5890	89.0337	81.7950	87.4409	83.7699
100	svhn	2.8090	70.2381	69.7180	71.8065	58.8088
100	imagenet	15.5462	86.1281	79.7900	85.9833	78.4830
100	lsun	13.8285	86.6506	80.9400	86.5585	78.5653
