Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	3.6436	64.1953	67.3387	73.4963	55.1341
10	imagenet	46.6897	84.5136	75.5300	84.2534	85.3384
10	lsun	58.9209	90.8600	82.1100	91.3352	90.7087
20	svhn	4.4487	70.2183	67.2850	74.5736	61.0227
20	imagenet	32.9364	81.1422	73.1900	82.5197	80.2317
20	lsun	35.9684	85.0879	77.0300	86.7922	83.2097
30	svhn	2.6396	73.9606	71.0510	79.6192	63.1675
30	imagenet	28.8763	81.2015	73.4000	83.0161	78.7289
30	lsun	36.2253	86.1307	78.2700	87.7318	83.4631
40	svhn	1.7289	66.6661	64.9194	69.5671	57.2231
40	imagenet	40.4437	85.0723	75.9350	85.7887	83.0567
40	lsun	51.4949	89.5691	81.0750	90.3052	87.8264
50	svhn	1.4285	69.5506	67.7265	74.8445	59.0044
50	imagenet	30.3605	82.1740	73.9150	83.3557	79.5043
50	lsun	41.9520	86.9723	78.6550	88.1978	85.0389
60	svhn	6.4615	78.3631	74.4457	83.0865	68.4123
60	imagenet	28.7766	81.9307	74.0900	83.9454	78.8067
60	lsun	34.7804	84.9140	76.7250	85.8636	82.2776
70	svhn	3.7447	69.6751	70.1843	72.9915	58.2831
70	imagenet	23.3630	83.9229	76.3550	83.0087	77.9365
70	lsun	30.7004	86.8713	79.5300	87.1296	81.2705
80	svhn	10.6071	67.3845	67.8410	72.4216	61.4029
80	imagenet	13.5327	80.0827	74.4700	81.1738	72.7966
80	lsun	15.6611	83.3066	77.6600	85.3398	75.7036
90	svhn	6.5145	65.5797	66.4076	67.5064	57.3280
90	imagenet	22.8245	81.3556	75.8200	82.9735	77.4475
90	lsun	27.1695	85.9452	79.3400	86.9232	80.3994
100	svhn	4.8371	64.2313	66.0583	68.0055	55.5306
100	imagenet	15.5727	79.9225	74.4700	80.8886	73.1849
100	lsun	13.9773	81.8759	76.8300	83.9774	74.0209
