Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	9.5304	75.4144	72.0431	80.5637	66.9016
10	imagenet	48.9107	87.9309	78.9300	88.5549	87.7078
10	lsun	56.4964	89.7239	80.9050	90.0283	89.8424
20	svhn	9.7569	78.9039	74.5628	83.3288	69.5425
20	imagenet	31.9623	82.8046	74.6700	83.4612	80.7566
20	lsun	33.8547	84.3295	76.2600	85.8068	81.9987
30	svhn	2.1662	69.1719	66.8188	75.1931	59.6064
30	imagenet	26.6210	79.4972	71.9000	81.1024	76.6987
30	lsun	28.7382	82.8679	75.1450	85.0781	79.4651
40	svhn	0.6835	62.9862	64.0895	70.2891	53.4175
40	imagenet	34.4163	85.2402	77.1250	86.9414	82.1324
40	lsun	45.7877	89.7174	82.4150	91.1771	87.1056
50	svhn	4.5777	69.6290	67.3022	76.0980	60.5008
50	imagenet	40.0182	85.9287	77.4350	87.3101	83.7633
50	lsun	49.0148	89.7316	81.8150	91.0576	87.5308
60	svhn	4.7444	73.0837	71.7537	79.4569	62.4113
60	imagenet	26.4842	82.5301	74.9650	83.9773	78.1632
60	lsun	28.4328	84.0506	76.4800	86.4317	79.3872
70	svhn	3.6937	65.7640	67.4608	73.3770	56.6112
70	imagenet	23.2864	82.5268	76.5400	84.8437	78.1844
70	lsun	26.2879	85.2176	79.1850	87.1766	80.8302
80	svhn	4.6241	62.5803	64.9927	68.1605	56.7916
80	imagenet	25.8772	83.0957	77.6750	85.0214	79.1573
80	lsun	29.4179	85.3133	79.9650	87.6200	81.8610
90	svhn	3.9349	65.8837	66.0468	70.5064	57.0807
90	imagenet	17.4800	80.3758	75.9150	83.2926	74.3196
90	lsun	21.9133	82.9172	78.3050	86.2481	78.0367
100	svhn	2.1725	62.1998	64.3640	66.6031	53.3097
100	imagenet	19.0210	82.8252	77.6300	84.6629	76.8007
100	lsun	27.2122	85.3111	79.3200	87.0132	80.8534
