Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	10.8743	79.2976	75.1235	84.4374	70.3850
10	imagenet	33.1374	78.1473	70.3450	76.1130	78.9255
10	lsun	34.1354	81.9364	73.6300	82.8089	81.0479
20	svhn	0.9622	65.7663	65.3731	71.2974	56.0180
20	imagenet	25.6971	79.0261	71.7900	77.5326	76.9853
20	lsun	28.5383	83.7468	76.4100	85.5360	80.5305
30	svhn	0.4797	67.2881	66.9930	73.9942	56.7778
30	imagenet	29.5416	81.7477	73.9400	83.9374	79.1019
30	lsun	42.3232	87.6791	79.3450	89.1365	85.5049
40	svhn	1.1868	71.0414	68.3622	75.6822	60.1946
40	imagenet	32.4276	84.4970	76.6100	86.0326	81.6683
40	lsun	43.4059	87.6463	79.3200	88.7468	85.8667
50	svhn	1.7739	71.5371	68.8146	76.0577	61.0715
50	imagenet	33.3655	84.6137	76.4150	85.9083	81.6833
50	lsun	38.9867	85.9629	77.2650	87.0607	83.9347
60	svhn	4.4503	72.7552	68.2643	74.3096	63.3628
60	imagenet	25.4554	80.6094	73.5700	82.8277	76.7026
60	lsun	28.0468	81.8291	74.6450	83.6884	78.1894
70	svhn	1.9840	67.1741	68.5894	69.8326	55.4247
70	imagenet	23.6591	83.0359	76.4650	83.6535	78.4799
70	lsun	30.2612	85.3600	78.4650	85.9802	81.9104
80	svhn	3.6093	64.9197	67.3056	69.8637	55.0907
80	imagenet	19.6530	80.4750	74.9900	82.1051	75.4478
80	lsun	23.0630	82.9090	77.6800	84.8646	78.0321
90	svhn	6.4155	68.6134	69.5440	73.4479	59.4759
90	imagenet	16.6338	81.0271	76.2550	82.8432	74.2036
90	lsun	18.9524	83.4964	79.2850	86.1204	76.6754
100	svhn	6.9948	67.5566	68.5319	72.2045	59.2216
100	imagenet	16.3083	78.7341	75.4050	82.0106	73.1679
100	lsun	17.8271	81.6950	77.4100	84.1672	75.0064
