,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,79.05666666666667,0.09568466729604727,79.06 $\pm$ 0.1
1,20,79.81666666666666,0.4553631029799834,79.82 $\pm$ 0.46
2,30,79.99666666666667,0.847125859729366,80.0 $\pm$ 0.85
3,40,79.32000000000001,0.4864154602806112,79.32 $\pm$ 0.49
4,50,80.36666666666666,0.1604853748961439,80.37 $\pm$ 0.16
5,60,79.84333333333335,0.6886863501543317,79.84 $\pm$ 0.69
6,70,70.07333333333334,1.6987119303231542,70.07 $\pm$ 1.7
7,80,68.13000000000001,2.273734080024899,68.13 $\pm$ 2.27
8,90,65.72666666666667,2.9806524267161505,65.73 $\pm$ 2.98
9,100,65.68666666666667,2.3987543063478243,65.69 $\pm$ 2.4
