,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,10.19 $\pm$ 1.89,75.33 $\pm$ 1.98,72.76 $\pm$ 0.93,81.48 $\pm$ 1.34,66.96 $\pm$ 2.35
1,20,10.56 $\pm$ 1.65,76.19 $\pm$ 0.14,71.19 $\pm$ 0.49,79.77 $\pm$ 0.65,68.29 $\pm$ 0.72
2,30,5.27 $\pm$ 3.24,72.61 $\pm$ 4.75,69.97 $\pm$ 2.87,77.6 $\pm$ 3.07,63.18 $\pm$ 5.25
3,40,5.0 $\pm$ 3.18,71.16 $\pm$ 4.2,68.61 $\pm$ 2.88,76.32 $\pm$ 3.19,62.0 $\pm$ 4.84
4,50,7.6 $\pm$ 5.8,73.95 $\pm$ 7.58,70.6 $\pm$ 5.94,78.63 $\pm$ 7.33,65.68 $\pm$ 7.79
5,60,6.29 $\pm$ 1.89,75.28 $\pm$ 0.65,71.91 $\pm$ 0.29,79.86 $\pm$ 0.41,65.67 $\pm$ 1.47
6,70,10.41 $\pm$ 1.89,72.74 $\pm$ 1.02,70.19 $\pm$ 2.06,77.41 $\pm$ 1.85,65.76 $\pm$ 1.08
7,80,10.37 $\pm$ 4.76,74.04 $\pm$ 3.32,71.41 $\pm$ 3.03,78.63 $\pm$ 3.65,66.42 $\pm$ 4.37
8,90,12.31 $\pm$ 4.95,75.38 $\pm$ 1.88,71.35 $\pm$ 2.5,79.93 $\pm$ 2.05,68.56 $\pm$ 3.51
9,100,13.41 $\pm$ 4.66,77.31 $\pm$ 2.03,72.77 $\pm$ 1.5,81.21 $\pm$ 0.91,70.35 $\pm$ 4.26
