,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,35.24 $\pm$ 2.5,80.86 $\pm$ 1.76,72.82 $\pm$ 1.25,80.63 $\pm$ 2.88,80.67 $\pm$ 1.37
1,20,26.09 $\pm$ 1.87,78.37 $\pm$ 1.53,71.14 $\pm$ 1.22,77.93 $\pm$ 2.7,76.63 $\pm$ 1.58
2,30,25.4 $\pm$ 3.53,78.77 $\pm$ 2.49,71.61 $\pm$ 2.07,79.64 $\pm$ 2.99,76.15 $\pm$ 2.52
3,40,33.51 $\pm$ 6.6,83.95 $\pm$ 1.9,76.1 $\pm$ 1.3,85.54 $\pm$ 1.58,81.07 $\pm$ 2.93
4,50,27.48 $\pm$ 5.83,82.04 $\pm$ 1.92,74.57 $\pm$ 1.29,83.77 $\pm$ 1.58,78.17 $\pm$ 2.64
5,60,19.14 $\pm$ 2.4,78.59 $\pm$ 1.23,72.14 $\pm$ 1.11,79.85 $\pm$ 1.21,73.4 $\pm$ 1.36
6,70,15.89 $\pm$ 1.44,79.77 $\pm$ 1.02,74.15 $\pm$ 1.53,81.8 $\pm$ 1.86,73.06 $\pm$ 0.51
7,80,20.95 $\pm$ 6.18,81.37 $\pm$ 0.96,75.08 $\pm$ 0.83,83.33 $\pm$ 1.05,75.62 $\pm$ 2.32
8,90,12.6 $\pm$ 4.46,78.4 $\pm$ 1.39,74.64 $\pm$ 0.96,82.03 $\pm$ 1.02,70.41 $\pm$ 2.89
9,100,11.09 $\pm$ 5.57,76.41 $\pm$ 2.43,74.64 $\pm$ 1.7,80.89 $\pm$ 1.3,68.11 $\pm$ 4.73
