Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	7.4682	74.7943	73.5584	81.8150	64.8237
10	imagenet	45.0216	84.1084	74.9600	84.1803	84.8367
10	lsun	42.8737	84.0327	74.8000	84.5761	84.1523
20	svhn	32.0241	86.1104	79.0224	88.8399	82.6461
20	imagenet	19.0351	72.4089	65.4400	67.5538	70.4673
20	lsun	25.8811	78.6697	72.5300	79.8166	77.4558
30	svhn	21.4028	83.9308	78.3071	86.8748	77.6412
30	imagenet	21.8088	79.4252	71.8900	77.4671	75.5014
30	lsun	23.3877	81.5184	74.7800	82.0586	77.2658
40	svhn	17.1390	79.7846	76.2776	82.9222	74.5344
40	imagenet	16.3123	73.7492	71.9150	75.8918	72.2884
40	lsun	18.0743	79.7040	73.4950	78.7633	73.8974
50	svhn	17.0907	82.1979	78.0492	85.8142	74.4902
50	imagenet	14.8183	76.1235	69.1050	71.7856	69.6144
50	lsun	16.0964	77.3770	70.5950	74.7141	71.0029
60	svhn	15.2349	81.6367	76.4262	81.8497	73.5065
60	imagenet	16.7342	78.8962	72.1650	74.7695	72.2522
60	lsun	18.4312	79.9068	73.2200	76.7227	73.6769
70	svhn	17.9283	85.1985	77.6032	76.2183	76.5112
70	imagenet	15.6332	82.8524	70.6900	67.0992	73.3148
70	lsun	16.7224	81.9900	74.5500	74.7559	74.6817
80	svhn	17.0041	85.9770	75.0207	71.0751	76.1653
80	imagenet	19.4363	85.5270	71.1500	66.8180	76.2630
80	lsun	21.3304	86.3116	73.8250	69.8691	77.6802
90	svhn	20.4735	87.6970	77.2907	73.4575	78.9763
90	imagenet	23.0304	60.5777	72.5950	68.0468	78.7480
90	lsun	26.2717	88.0098	75.3600	71.3276	80.7717
100	svhn	24.3941	87.7950	76.9579	73.5007	80.3177
100	imagenet	25.4744	87.2632	73.7400	69.6411	79.7512
100	lsun	27.5780	86.3545	77.2000	76.5946	81.0327
