Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	7.3083	76.6195	74.0628	82.6070	66.6894
10	imagenet	45.7625	82.9871	74.4200	81.7346	84.4058
10	lsun	55.5738	88.7530	79.7200	89.0283	89.1461
20	svhn	8.9292	74.8690	71.6047	80.7067	65.9643
20	imagenet	78.2318	95.1059	86.8650	94.8023	95.5959
20	lsun	71.5060	93.5156	84.2900	93.4627	93.9981
30	svhn	8.6838	70.5680	67.6984	74.0362	62.8998
30	imagenet	29.1868	81.6649	74.0500	82.7024	79.5343
30	lsun	33.5800	84.5884	76.9450	86.4765	82.3203
40	svhn	18.1739	82.3112	76.3418	82.3651	75.5469
40	imagenet	19.6380	80.6981	73.8750	78.9545	75.5921
40	lsun	21.4054	81.5967	74.4700	79.6745	76.6114
50	svhn	13.9191	80.2058	75.6347	81.0824	72.2750
50	imagenet	19.4324	80.5070	74.5600	80.0774	75.2776
50	lsun	22.5201	82.5355	75.9550	82.4152	77.7479
60	svhn	20.8255	83.1798	76.5576	80.5853	77.2121
60	imagenet	16.4538	80.3577	72.8950	74.2296	73.3199
60	lsun	20.1583	83.0885	76.3500	80.5087	77.1693
70	svhn	16.8120	69.8444	75.7981	73.7680	75.4731
70	imagenet	20.1482	84.0290	74.2650	72.0290	76.7251
70	lsun	22.7126	75.5472	78.2950	78.1318	79.3272
80	svhn	11.2606	82.4588	71.3423	67.2323	70.8943
80	imagenet	30.2844	87.3056	77.6200	76.5619	82.2746
80	lsun	30.8024	87.9514	79.3550	79.3119	82.6695
90	svhn	17.3591	84.6883	74.1759	70.7811	75.1615
90	imagenet	31.7283	86.3441	77.7250	79.9581	82.0942
90	lsun	34.8355	88.8553	79.8000	79.8463	83.4850
100	svhn	17.4123	84.2444	75.7510	73.9640	76.0258
100	imagenet	31.7552	89.0052	77.5050	74.6041	83.5284
100	lsun	31.0682	89.0762	78.5500	75.9540	83.0403
