Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	15.0184	80.5759	77.5372	86.0300	72.4996
10	imagenet	32.7798	78.0883	70.0000	78.3931	78.5644
10	lsun	42.0156	83.8702	74.7400	84.6303	83.8585
20	svhn	10.2435	76.7634	73.6192	82.7053	67.6339
20	imagenet	28.8926	81.0408	73.5450	82.7694	77.3792
20	lsun	29.9843	82.5272	75.0050	84.8197	78.1415
30	svhn	17.0965	81.5078	76.9749	86.0174	74.0510
30	imagenet	17.7872	75.9211	71.2800	78.4249	72.2252
30	lsun	20.1662	79.6186	74.0550	82.6783	74.7568
40	svhn	7.1237	77.5414	74.5956	82.3083	67.1707
40	imagenet	22.3062	80.3590	73.9300	81.9987	74.4259
40	lsun	20.8958	80.1559	73.9400	81.5855	73.6175
50	svhn	10.7299	76.8787	72.7396	81.3757	69.0338
50	imagenet	19.7197	73.9481	70.1900	75.2034	72.7910
50	lsun	23.7055	81.0936	74.3650	82.5273	76.7840
60	svhn	20.5112	84.7488	80.1075	87.7905	77.0262
60	imagenet	14.4886	75.9326	69.6150	72.1922	68.9983
60	lsun	17.0056	79.3956	73.9100	79.2407	72.3553
70	svhn	31.7344	87.2123	80.4150	83.7090	82.3273
70	imagenet	14.8248	81.3169	71.0850	68.3911	72.1700
70	lsun	13.6148	81.9255	73.2950	71.1896	72.2730
80	svhn	24.9262	87.1409	78.3058	75.9510	79.7900
80	imagenet	14.5422	83.5181	67.8050	63.3013	72.0034
80	lsun	13.1152	83.8931	70.1550	65.5839	72.4892
90	svhn	38.9624	89.5960	81.5867	81.7794	86.6848
90	imagenet	13.7679	83.0861	65.4550	61.1913	70.5743
90	lsun	11.5947	83.4919	68.8050	64.2073	71.1260
100	svhn	27.6485	88.6946	76.4174	72.0869	79.1845
100	imagenet	14.1183	85.6484	65.6650	60.8414	72.3333
100	lsun	13.3013	85.8648	67.7450	62.6005	72.8429
