Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	12.5100	78.0774	75.0976	83.6672	70.0315
10	imagenet	51.1256	86.2002	76.4300	86.2063	87.0777
10	lsun	53.3600	88.2603	78.4900	88.9528	88.4326
20	svhn	15.6271	80.2427	76.1522	84.7173	73.1637
20	imagenet	18.0191	77.7998	71.9750	79.9046	72.9169
20	lsun	20.7897	78.7767	73.2800	81.5845	75.1279
30	svhn	16.9953	80.3562	75.4705	82.5831	73.6781
30	imagenet	24.2535	80.2793	72.9050	80.3384	77.1872
30	lsun	24.9315	81.4859	74.6550	81.7393	77.9464
40	svhn	8.5672	75.3294	73.1112	79.0727	65.8958
40	imagenet	17.7750	78.8945	73.2150	80.2319	73.2897
40	lsun	17.9721	79.0192	73.0950	79.6354	73.2436
50	svhn	4.1040	73.9985	72.4771	78.5572	63.2743
50	imagenet	25.2672	80.5113	73.0700	79.8496	75.6882
50	lsun	31.9555	84.4448	76.6850	84.7930	78.8164
60	svhn	14.8412	81.1524	76.1249	81.0789	73.2323
60	imagenet	18.6208	80.3904	73.5150	76.6891	74.7202
60	lsun	19.6269	81.6554	75.0600	79.1182	75.9593
70	svhn	23.4018	85.6071	78.5034	78.5816	79.3485
70	imagenet	14.8036	81.6696	70.3100	66.8852	72.2619
70	lsun	15.2250	82.5095	72.9850	70.1187	73.2212
80	svhn	22.0946	86.6545	76.9316	73.7792	79.4926
80	imagenet	18.5389	84.9413	70.9850	66.5959	76.0265
80	lsun	18.3193	85.3198	72.8700	68.6536	76.2552
90	svhn	21.6680	87.6543	75.9244	71.4617	80.2847
90	imagenet	17.7293	86.2224	69.6850	64.6620	76.7279
90	lsun	17.1793	86.3733	71.6400	66.5329	76.3371
100	svhn	21.9869	87.0635	75.6002	71.4386	79.6668
100	imagenet	18.9254	86.1233	71.9600	67.2428	77.1675
100	lsun	18.1984	86.0827	72.5000	67.7694	76.2827
