Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	13.6851	79.9688	77.7580	85.4929	71.2645
10	imagenet	53.9338	88.4331	79.1850	88.8208	88.3499
10	lsun	44.2571	86.6435	77.7950	87.9025	85.4454
20	svhn	14.9555	80.0526	76.8405	84.9098	72.8363
20	imagenet	15.6184	75.7771	69.7550	74.8601	70.6473
20	lsun	15.1854	76.2716	70.3650	76.7059	70.7877
30	svhn	12.3106	79.1760	74.6082	83.6035	70.4713
30	imagenet	21.2061	80.7840	74.5000	82.3812	75.3073
30	lsun	23.6478	82.1880	75.4250	84.2322	76.8120
40	svhn	11.1320	77.6607	73.1391	80.0702	69.0731
40	imagenet	16.3650	78.4279	72.2400	77.6687	72.2064
40	lsun	17.9641	79.9309	73.5950	79.6967	73.7562
50	svhn	13.4389	79.2295	75.4628	83.2851	70.9176
50	imagenet	24.5774	81.1105	73.7300	80.2201	77.2384
50	lsun	24.5206	79.9482	72.0600	77.1294	76.4220
60	svhn	13.8790	80.6625	77.2136	84.9466	72.0033
60	imagenet	13.2518	73.9472	66.2200	67.0011	67.1227
60	lsun	16.3940	77.2302	70.5350	73.9816	70.8437
70	svhn	13.6936	81.6914	71.9659	68.4788	72.3763
70	imagenet	14.7867	81.4392	68.7000	65.0653	71.8027
70	lsun	16.0051	82.7506	72.3550	69.3401	73.7313
80	svhn	14.1719	84.9136	68.5445	63.5105	74.0195
80	imagenet	12.5409	84.4669	65.5850	60.9041	71.5788
80	lsun	12.7299	84.9754	68.5000	63.5031	72.7406
90	svhn	14.6767	85.5555	68.8685	63.7296	74.6263
90	imagenet	11.9546	84.6695	64.4700	59.8516	70.2127
90	lsun	10.6352	84.7310	65.9100	60.9932	70.5627
100	svhn	14.7047	85.4619	68.6398	63.5542	74.0446
100	imagenet	13.3867	84.5916	63.6800	59.2877	71.4077
100	lsun	12.0290	84.6701	65.3800	60.6101	71.2907
