,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,44.07 $\pm$ 6.48,85.37 $\pm$ 2.08,76.32 $\pm$ 2.01,86.27 $\pm$ 1.89,84.54 $\pm$ 2.42
1,20,20.04 $\pm$ 1.91,77.95 $\pm$ 1.2,72.0 $\pm$ 0.86,79.83 $\pm$ 1.09,73.41 $\pm$ 1.53
2,30,19.33 $\pm$ 2.42,80.49 $\pm$ 2.13,74.1 $\pm$ 1.76,82.26 $\pm$ 1.88,74.43 $\pm$ 2.66
3,40,24.56 $\pm$ 7.63,81.14 $\pm$ 4.36,74.39 $\pm$ 3.91,81.72 $\pm$ 5.4,76.47 $\pm$ 5.39
4,50,17.35 $\pm$ 1.56,79.67 $\pm$ 0.74,73.4 $\pm$ 0.58,77.82 $\pm$ 0.5,73.32 $\pm$ 1.63
5,60,15.67 $\pm$ 1.12,78.24 $\pm$ 0.69,71.86 $\pm$ 0.63,75.56 $\pm$ 0.83,71.41 $\pm$ 0.77
6,70,14.17 $\pm$ 1.8,81.99 $\pm$ 0.17,71.39 $\pm$ 1.58,68.35 $\pm$ 2.39,71.69 $\pm$ 1.04
7,80,14.68 $\pm$ 2.91,84.05 $\pm$ 0.9,70.39 $\pm$ 3.67,66.37 $\pm$ 4.17,72.8 $\pm$ 2.64
8,90,14.82 $\pm$ 2.4,85.01 $\pm$ 0.66,68.73 $\pm$ 3.63,64.2 $\pm$ 3.6,73.04 $\pm$ 2.6
9,100,15.1 $\pm$ 3.34,85.63 $\pm$ 0.94,68.61 $\pm$ 3.54,63.88 $\pm$ 3.47,73.25 $\pm$ 2.96
