,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,21.31 $\pm$ 3.59,84.08 $\pm$ 1.06,79.14 $\pm$ 0.41,87.86 $\pm$ 0.59,77.27 $\pm$ 2.01
1,20,19.3 $\pm$ 2.81,82.04 $\pm$ 1.04,76.69 $\pm$ 0.81,86.12 $\pm$ 1.01,75.07 $\pm$ 1.43
2,30,6.77 $\pm$ 2.8,73.55 $\pm$ 3.26,70.5 $\pm$ 2.76,78.05 $\pm$ 3.01,64.54 $\pm$ 3.04
3,40,15.84 $\pm$ 1.63,80.82 $\pm$ 0.87,76.06 $\pm$ 0.75,84.33 $\pm$ 0.88,73.18 $\pm$ 1.57
4,50,15.37 $\pm$ 2.07,81.16 $\pm$ 2.08,76.77 $\pm$ 2.11,83.01 $\pm$ 3.7,73.1 $\pm$ 2.31
5,60,13.37 $\pm$ 0.72,79.92 $\pm$ 1.1,75.21 $\pm$ 1.17,81.24 $\pm$ 1.3,71.62 $\pm$ 1.05
6,70,15.12 $\pm$ 1.76,83.44 $\pm$ 0.53,76.2 $\pm$ 2.22,74.82 $\pm$ 3.88,74.22 $\pm$ 1.2
7,80,16.73 $\pm$ 2.94,84.28 $\pm$ 0.39,71.57 $\pm$ 1.72,67.38 $\pm$ 2.15,74.58 $\pm$ 1.06
8,90,17.0 $\pm$ 3.2,84.92 $\pm$ 1.52,73.77 $\pm$ 1.63,69.78 $\pm$ 1.41,75.95 $\pm$ 1.9
9,100,22.01 $\pm$ 5.52,87.33 $\pm$ 0.94,74.63 $\pm$ 3.14,70.41 $\pm$ 4.31,79.34 $\pm$ 3.25
