,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,78.76666666666667,0.7735775476461471,78.77 $\pm$ 0.77
1,20,79.66666666666667,0.21171259344266866,79.67 $\pm$ 0.21
2,30,79.71333333333332,0.5596030339048896,79.71 $\pm$ 0.56
3,40,80.64,0.2204540768504828,80.64 $\pm$ 0.22
4,50,81.38333333333333,0.08806563209081637,81.38 $\pm$ 0.09
5,60,80.61666666666666,0.3419876540981442,80.62 $\pm$ 0.34
6,70,82.23333333333333,0.3816047984790304,82.23 $\pm$ 0.38
7,80,81.96,0.3847943173523565,81.96 $\pm$ 0.38
8,90,81.89333333333333,0.2613214283002637,81.89 $\pm$ 0.26
9,100,81.93333333333334,0.18926759422104827,81.93 $\pm$ 0.19
