,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,43.06 $\pm$ 5.56,83.43 $\pm$ 2.51,74.18 $\pm$ 2.11,83.79 $\pm$ 2.68,83.43 $\pm$ 2.48
1,20,18.25 $\pm$ 1.17,74.72 $\pm$ 0.53,68.41 $\pm$ 0.24,73.45 $\pm$ 1.71,70.84 $\pm$ 0.13
2,30,17.3 $\pm$ 1.43,77.54 $\pm$ 1.79,71.03 $\pm$ 1.34,77.75 $\pm$ 2.06,71.94 $\pm$ 2.02
3,40,19.91 $\pm$ 5.75,76.8 $\pm$ 4.59,70.82 $\pm$ 4.16,76.68 $\pm$ 6.4,72.96 $\pm$ 5.2
4,50,15.48 $\pm$ 1.85,77.86 $\pm$ 1.51,71.36 $\pm$ 1.66,74.36 $\pm$ 2.47,71.24 $\pm$ 2.29
5,60,14.23 $\pm$ 1.77,73.25 $\pm$ 5.72,68.86 $\pm$ 1.68,70.52 $\pm$ 2.03,69.29 $\pm$ 1.76
6,70,14.63 $\pm$ 2.38,81.47 $\pm$ 0.47,68.94 $\pm$ 2.54,65.72 $\pm$ 3.13,71.19 $\pm$ 1.9
7,80,16.04 $\pm$ 2.67,84.08 $\pm$ 0.45,69.45 $\pm$ 3.75,65.48 $\pm$ 4.04,73.24 $\pm$ 2.52
8,90,15.42 $\pm$ 2.34,83.73 $\pm$ 1.71,68.14 $\pm$ 1.82,63.81 $\pm$ 1.67,73.06 $\pm$ 2.25
9,100,15.3 $\pm$ 3.1,85.33 $\pm$ 0.96,66.99 $\pm$ 3.71,62.4 $\pm$ 3.4,73.05 $\pm$ 3.42
