Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	5.5986	74.8220	72.8544	81.5820	64.3541
10	imagenet	40.9200	81.6501	73.5650	79.8940	82.5343
10	lsun	44.4840	85.1381	76.4850	84.9462	84.9744
20	svhn	20.6673	81.4985	74.9980	84.2913	75.7486
20	imagenet	38.9089	86.4652	78.2650	88.0382	85.2742
20	lsun	39.2345	86.9644	78.9450	88.5809	85.4038
30	svhn	16.2301	82.2739	77.4520	86.0739	74.2836
30	imagenet	21.5723	77.4551	71.8550	79.4366	75.2316
30	lsun	26.9147	82.6045	75.7400	84.6738	79.1991
40	svhn	25.8690	84.2801	77.7348	87.1350	79.5856
40	imagenet	27.6194	79.8153	73.8650	81.1906	78.9222
40	lsun	29.8364	83.8134	76.5200	85.2753	81.0290
50	svhn	21.9159	81.5451	75.1482	84.6036	76.3323
50	imagenet	21.5348	80.5201	73.9600	81.5184	75.0471
50	lsun	18.5830	78.7766	72.5300	79.1944	72.5975
60	svhn	16.3186	83.1251	78.7954	85.5670	74.9683
60	imagenet	21.7305	80.4392	73.5800	78.7346	75.6211
60	lsun	21.7823	81.3208	74.7700	80.4383	75.9793
70	svhn	16.7715	84.7031	78.1562	76.8847	76.1124
70	imagenet	15.9919	82.9447	71.2950	67.8493	73.9151
70	lsun	17.5010	83.7502	73.5650	70.6532	75.1139
80	svhn	22.0053	85.2105	77.7553	78.2668	77.9542
80	imagenet	24.4190	84.7227	75.5550	74.9326	78.3453
80	lsun	25.9262	85.4341	76.5400	76.6028	79.2889
90	svhn	12.9120	84.9738	71.1090	66.1397	73.3511
90	imagenet	23.5055	87.2035	74.6650	70.6058	79.9732
90	lsun	25.8611	87.7117	75.8200	72.1087	80.8145
100	svhn	17.1273	86.0860	76.5503	72.9345	76.9587
100	imagenet	24.5718	86.8746	74.9700	71.3800	80.1348
100	lsun	26.9690	87.4888	76.4150	73.3136	81.1714
