Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	6.2901	73.6844	72.7338	80.8498	63.7307
10	imagenet	41.3552	79.5917	71.6000	78.1344	81.7060
10	lsun	44.2626	83.1571	73.9600	82.9062	83.9970
20	svhn	11.8803	77.8137	74.2729	81.5850	70.0228
20	imagenet	16.3396	74.2872	67.8000	73.1884	70.2983
20	lsun	13.8916	72.8033	66.9750	71.9876	68.0634
30	svhn	12.4434	77.2432	73.7629	82.1762	69.5182
30	imagenet	17.0948	77.3830	71.0650	77.0240	72.4358
30	lsun	19.9163	80.5264	74.3200	81.9580	75.6221
40	svhn	9.2790	75.4267	71.7027	76.2420	66.4794
40	imagenet	16.7602	78.1915	72.1550	77.7226	72.2945
40	lsun	17.1005	78.2648	72.0000	77.2982	72.5289
50	svhn	11.5259	78.5725	75.3834	82.8291	70.0770
50	imagenet	14.3507	75.4157	69.3350	73.5164	69.5187
50	lsun	19.1698	79.5360	73.5650	79.8360	74.3034
60	svhn	13.6061	79.7213	75.9141	82.2649	71.9074
60	imagenet	18.2393	79.4437	73.1850	78.3533	74.2633
60	lsun	20.0068	80.2718	73.8150	79.4811	75.2911
70	svhn	12.9653	82.1799	75.0213	72.5775	72.1862
70	imagenet	14.7738	81.7934	70.9350	67.7273	72.4100
70	lsun	13.2721	81.6924	71.5950	68.4019	71.7132
80	svhn	22.0343	84.6179	75.7428	73.8391	77.8907
80	imagenet	15.6981	82.3847	70.1450	66.6520	72.8415
80	lsun	14.6991	82.5382	71.5150	68.1319	72.6217
90	svhn	15.9122	84.4038	73.8666	70.0805	75.0259
90	imagenet	20.7907	85.2610	73.4750	69.9770	77.4242
90	lsun	16.7742	84.5164	72.8950	69.0704	75.0278
100	svhn	17.3933	85.2802	72.7883	68.4842	75.9899
100	imagenet	27.6349	87.4538	75.5650	72.3866	81.5741
100	lsun	23.8181	86.6922	74.5700	70.9525	79.2960
