Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	0.1252	68.8131	72.6088	78.5379	57.0367
10	imagenet	90.3697	97.4037	92.7450	97.1792	97.3843
10	lsun	91.2038	97.6307	93.1700	97.4598	97.5971
20	svhn	9.1704	72.9050	71.3395	79.6703	64.3655
20	imagenet	26.8378	79.6984	72.5550	78.9379	77.4360
20	lsun	31.3240	83.8956	76.6800	85.7749	80.9519
30	svhn	15.7675	80.0060	76.4058	84.6674	72.9315
30	imagenet	19.8768	74.0647	69.9500	75.0123	72.9081
30	lsun	22.4459	79.7460	73.9750	82.2371	76.0563
40	svhn	19.9752	82.8499	78.4299	86.3822	76.9537
40	imagenet	18.9776	77.1273	73.0650	79.6657	74.1482
40	lsun	20.5332	79.3543	74.9550	82.1311	75.5520
50	svhn	8.4016	74.0766	71.0559	72.4048	64.7427
50	imagenet	20.3728	76.4136	73.8000	78.6851	75.4319
50	lsun	22.0048	82.6274	76.3850	82.3361	77.3736
60	svhn	12.3732	78.0883	74.9250	81.6545	69.5368
60	imagenet	18.1544	77.5509	70.8400	74.7643	72.0924
60	lsun	18.8870	79.4468	73.0200	78.2184	73.4556
70	svhn	13.7103	82.1265	72.0264	68.6545	72.7005
70	imagenet	22.8992	68.6583	74.4750	72.4124	78.3828
70	lsun	23.2816	71.8353	76.2250	74.9344	78.8393
80	svhn	19.2597	83.6498	75.5627	73.7467	76.7277
80	imagenet	34.4346	86.7197	76.9550	76.9420	81.8973
80	lsun	32.2432	86.7916	77.7050	78.0625	81.2303
90	svhn	14.0158	80.8354	69.4243	65.8515	71.4886
90	imagenet	40.9933	88.1585	78.2050	79.6627	84.0415
90	lsun	38.4396	88.0281	78.5700	80.1730	83.1907
100	svhn	23.3234	83.9196	73.6587	71.3630	77.3448
100	imagenet	44.3135	88.8984	78.8800	80.3461	84.8382
100	lsun	41.5463	88.8057	79.3000	80.9425	84.0338
