Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	10.0627	76.2302	74.1335	81.8950	67.7464
10	imagenet	31.0764	79.9590	72.1300	80.7751	79.3571
10	lsun	34.7590	82.6652	74.3100	84.0145	81.6833
20	svhn	14.7374	78.2217	73.6079	81.6379	71.0020
20	imagenet	54.5652	88.9432	79.5000	89.2375	89.4083
20	lsun	53.0467	89.1834	79.9850	89.8719	89.2491
30	svhn	17.7069	82.0312	77.1345	85.2787	75.8105
30	imagenet	18.3127	79.9950	73.7700	81.1762	74.7776
30	lsun	17.8925	79.8636	73.6200	80.5855	74.3822
40	svhn	9.7572	76.1577	73.6524	80.6123	67.4879
40	imagenet	18.4561	77.5244	70.3150	74.9019	73.2726
40	lsun	22.3681	80.0819	72.8100	78.8555	76.3411
50	svhn	12.3148	79.5390	75.2849	81.6400	70.7493
50	imagenet	19.4323	76.9238	68.2550	69.6475	72.4328
50	lsun	25.6135	81.8021	74.1750	79.8403	77.9483
60	svhn	9.8229	77.0543	72.5699	74.6594	67.6985
60	imagenet	19.6014	81.0834	74.0650	77.1367	75.4594
60	lsun	23.7241	83.3430	76.5900	81.5829	78.3713
70	svhn	11.7310	81.9204	70.5541	66.6793	71.1680
70	imagenet	22.0516	85.0915	74.8100	72.6376	78.3437
70	lsun	22.6802	85.9116	76.8200	75.5576	79.2694
80	svhn	15.7442	86.2632	73.3273	68.4078	76.3927
80	imagenet	20.2804	86.7646	72.1650	67.4118	78.5249
80	lsun	21.6234	87.2850	73.8000	69.2739	79.6906
90	svhn	15.6508	85.4931	72.4215	67.6441	75.5348
90	imagenet	21.8473	86.4613	72.1600	67.7345	78.2174
90	lsun	22.2776	87.0014	74.5650	70.4658	79.1408
100	svhn	13.4314	84.7428	71.6659	66.8906	73.9457
100	imagenet	24.0629	86.6983	73.4800	69.4660	79.4325
100	lsun	26.5742	87.6003	76.1950	72.8730	80.9083
