,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,49.85 $\pm$ 11.16,87.51 $\pm$ 3.97,78.88 $\pm$ 3.75,88.06 $\pm$ 3.75,87.2 $\pm$ 4.36
1,20,32.79 $\pm$ 3.13,84.39 $\pm$ 0.55,76.57 $\pm$ 0.33,86.04 $\pm$ 0.54,81.91 $\pm$ 1.1
2,30,35.76 $\pm$ 5.56,85.56 $\pm$ 2.01,77.59 $\pm$ 1.78,87.32 $\pm$ 1.68,82.81 $\pm$ 2.51
3,40,46.9 $\pm$ 3.39,88.98 $\pm$ 0.94,80.94 $\pm$ 1.27,90.08 $\pm$ 1.01,86.93 $\pm$ 0.81
4,50,43.32 $\pm$ 4.21,87.56 $\pm$ 1.59,79.24 $\pm$ 1.9,88.77 $\pm$ 1.68,85.5 $\pm$ 1.5
5,60,30.42 $\pm$ 3.09,83.6 $\pm$ 1.3,75.95 $\pm$ 0.93,85.33 $\pm$ 1.18,79.95 $\pm$ 1.72
6,70,29.08 $\pm$ 1.98,85.82 $\pm$ 0.75,79.06 $\pm$ 0.44,86.76 $\pm$ 0.55,81.34 $\pm$ 0.44
7,80,22.71 $\pm$ 5.62,83.84 $\pm$ 1.05,78.44 $\pm$ 1.08,85.94 $\pm$ 1.2,78.53 $\pm$ 2.54
8,90,22.68 $\pm$ 3.4,84.12 $\pm$ 1.31,78.98 $\pm$ 0.48,86.43 $\pm$ 0.35,78.37 $\pm$ 1.54
9,100,19.67 $\pm$ 5.56,82.96 $\pm$ 1.66,77.85 $\pm$ 1.06,85.05 $\pm$ 1.39,76.63 $\pm$ 3.02
