,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,42.91 $\pm$ 6.97,83.53 $\pm$ 4.05,74.94 $\pm$ 3.53,82.97 $\pm$ 5.16,83.99 $\pm$ 3.71
1,20,30.2 $\pm$ 3.21,80.99 $\pm$ 1.55,73.22 $\pm$ 1.18,81.17 $\pm$ 2.6,79.32 $\pm$ 1.67
2,30,28.35 $\pm$ 1.25,80.82 $\pm$ 0.96,73.08 $\pm$ 0.86,82.69 $\pm$ 1.18,78.18 $\pm$ 1.06
3,40,35.76 $\pm$ 3.41,84.94 $\pm$ 0.32,76.56 $\pm$ 0.49,86.25 $\pm$ 0.5,82.29 $\pm$ 0.58
4,50,34.58 $\pm$ 4.04,84.24 $\pm$ 1.56,75.92 $\pm$ 1.48,85.52 $\pm$ 1.64,81.65 $\pm$ 1.74
5,60,26.91 $\pm$ 1.39,81.69 $\pm$ 0.8,74.21 $\pm$ 0.58,83.58 $\pm$ 0.53,77.89 $\pm$ 0.88
6,70,23.44 $\pm$ 0.16,83.16 $\pm$ 0.58,76.45 $\pm$ 0.08,83.84 $\pm$ 0.76,78.2 $\pm$ 0.22
7,80,19.69 $\pm$ 5.04,81.22 $\pm$ 1.34,75.71 $\pm$ 1.4,82.77 $\pm$ 1.64,75.8 $\pm$ 2.61
8,90,18.98 $\pm$ 2.74,80.92 $\pm$ 0.41,76.0 $\pm$ 0.19,83.04 $\pm$ 0.19,75.32 $\pm$ 1.5
9,100,16.97 $\pm$ 1.48,80.49 $\pm$ 1.72,75.83 $\pm$ 1.33,82.52 $\pm$ 1.58,74.38 $\pm$ 1.71
