,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,78.45,1.3081539155109634,78.45 $\pm$ 1.31
1,20,81.16,0.36687872655687903,81.16 $\pm$ 0.37
2,30,80.05000000000001,0.5289612462175302,80.05 $\pm$ 0.53
3,40,80.36,0.8202845034905073,80.36 $\pm$ 0.82
4,50,80.49,0.4489988864128722,80.49 $\pm$ 0.45
5,60,80.44,0.5354126134736387,80.44 $\pm$ 0.54
6,70,77.08,2.3397578222257716,77.08 $\pm$ 2.34
7,80,73.04333333333334,0.9302448900991346,73.04 $\pm$ 0.93
8,90,72.22333333333334,3.4779815346772036,72.22 $\pm$ 3.48
9,100,70.61999999999999,2.0328469363596136,70.62 $\pm$ 2.03
