,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,8.02 $\pm$ 3.14,72.97 $\pm$ 6.4,71.5 $\pm$ 3.2,79.5 $\pm$ 4.53,64.14 $\pm$ 6.53
1,20,5.06 $\pm$ 3.62,71.63 $\pm$ 5.46,69.07 $\pm$ 3.96,76.4 $\pm$ 5.08,62.19 $\pm$ 5.58
2,30,1.76 $\pm$ 0.93,70.14 $\pm$ 2.81,68.29 $\pm$ 1.96,76.27 $\pm$ 2.42,59.85 $\pm$ 2.61
3,40,1.2 $\pm$ 0.43,66.9 $\pm$ 3.29,65.79 $\pm$ 1.85,71.85 $\pm$ 2.73,56.95 $\pm$ 2.77
4,50,2.59 $\pm$ 1.41,70.24 $\pm$ 0.92,67.95 $\pm$ 0.64,75.67 $\pm$ 0.58,60.19 $\pm$ 0.87
5,60,5.22 $\pm$ 0.89,74.73 $\pm$ 2.57,71.49 $\pm$ 2.53,78.95 $\pm$ 3.6,64.73 $\pm$ 2.63
6,70,3.14 $\pm$ 0.82,67.54 $\pm$ 1.62,68.74 $\pm$ 1.12,72.07 $\pm$ 1.59,56.77 $\pm$ 1.17
7,80,6.28 $\pm$ 3.09,64.96 $\pm$ 1.96,66.71 $\pm$ 1.24,70.15 $\pm$ 1.75,57.76 $\pm$ 2.67
8,90,5.62 $\pm$ 1.19,66.69 $\pm$ 1.36,67.33 $\pm$ 1.57,70.49 $\pm$ 2.43,57.96 $\pm$ 1.08
9,100,4.67 $\pm$ 1.97,64.66 $\pm$ 2.21,66.32 $\pm$ 1.71,68.94 $\pm$ 2.38,56.02 $\pm$ 2.44
