Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	9.1216	75.4983	73.2391	80.7552	66.8884
10	imagenet	36.8392	80.6884	72.4100	80.1874	81.1739
10	lsun	48.0852	86.9455	77.7200	87.5852	86.9556
20	svhn	9.1366	75.9410	71.9108	80.4354	67.0381
20	imagenet	23.1166	75.3835	68.9450	73.1918	73.6624
20	lsun	27.8906	80.6060	73.0350	81.5650	78.1028
30	svhn	11.4686	78.9280	73.7435	81.8389	70.5670
30	imagenet	22.5500	76.7313	70.0450	76.5567	74.1636
30	lsun	33.6815	83.3016	75.5100	84.2173	81.2506
40	svhn	12.2746	74.3744	69.1576	77.3660	67.6459
40	imagenet	18.6889	74.7594	68.6550	76.3441	71.2116
40	lsun	24.6016	79.4347	72.0750	81.0168	75.8380
50	svhn	9.6945	75.7396	71.2463	78.6315	68.0063
50	imagenet	39.8579	85.9455	77.7400	87.1780	82.8755
50	lsun	42.6961	87.6465	79.7700	89.1309	84.3290
60	svhn	10.3773	80.1850	75.8477	84.4889	71.1876
60	imagenet	16.4716	74.2104	68.5050	74.4529	69.9933
60	lsun	17.2627	77.7407	71.7900	79.7738	72.8337
70	svhn	10.6602	80.3158	75.5427	84.2159	72.0014
70	imagenet	19.0947	78.7198	72.0900	79.1480	73.9248
70	lsun	28.0108	82.6352	75.2500	83.5648	79.1096
80	svhn	21.4609	81.3515	74.1077	84.1512	76.4502
80	imagenet	18.4387	79.3470	73.5200	81.1244	74.1120
80	lsun	22.3491	81.8774	75.4300	83.7926	76.9803
90	svhn	41.0760	85.4377	76.9054	86.8206	83.2142
90	imagenet	14.7895	76.0673	72.0750	78.6227	70.3535
90	lsun	17.5700	79.4331	75.8650	83.0146	73.5321
100	svhn	34.5128	86.5923	79.2489	88.1898	83.1664
100	imagenet	10.1092	74.6342	72.2500	78.0256	67.1919
100	lsun	10.2200	76.0936	74.6750	80.9762	68.5956
