Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	8.8720	75.3295	72.6965	81.3892	66.7301
10	imagenet	39.0188	80.8449	73.2250	79.4840	81.8621
10	lsun	52.7045	87.8990	79.1000	87.7911	88.3694
20	svhn	11.7138	73.7725	69.3087	78.6735	66.2626
20	imagenet	34.3308	82.4882	74.4850	82.8318	81.0963
20	lsun	41.9424	86.0452	77.6100	86.5191	84.8763
30	svhn	8.4132	78.8791	74.4256	83.5370	69.3798
30	imagenet	21.0389	76.3053	69.4100	77.2240	72.9730
30	lsun	25.4930	80.6773	73.2300	82.2694	77.2510
40	svhn	4.7424	73.8956	71.0251	79.4302	63.8413
40	imagenet	26.6839	82.9619	75.5050	84.6405	78.6288
40	lsun	32.6559	85.8366	78.4400	87.4330	81.8152
50	svhn	4.2114	72.8696	70.7917	79.1652	62.4821
50	imagenet	25.9056	82.4016	74.9400	83.6851	77.8228
50	lsun	35.9757	87.4608	80.0950	88.9654	83.0647
60	svhn	4.6961	74.3354	71.8138	79.8949	63.7648
60	imagenet	13.7160	73.1929	66.9250	72.5289	67.8496
60	lsun	19.3410	79.9346	73.3900	81.0289	74.4733
70	svhn	6.4765	78.4600	75.6715	83.8448	68.0286
70	imagenet	16.6081	77.8033	71.3650	77.9508	72.3650
70	lsun	19.7132	81.8789	75.6950	83.3191	76.2002
80	svhn	12.2567	80.8614	76.0200	85.2625	72.1635
80	imagenet	12.0119	77.4958	73.7650	80.5882	69.8997
80	lsun	13.1241	79.7118	77.3300	83.9692	71.6204
90	svhn	20.7864	84.0163	77.6416	86.9967	78.7836
90	imagenet	9.8577	76.0095	73.6150	79.5093	67.5954
90	lsun	10.8612	78.4810	76.8300	83.2302	69.7928
100	svhn	29.0905	83.9704	76.2247	86.3926	80.2652
100	imagenet	7.0308	76.1382	74.0700	79.9534	66.5349
100	lsun	7.1314	78.1887	77.0450	83.1210	67.9760
