Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	12.8666	77.6089	73.6592	82.8632	69.8681
10	imagenet	37.3846	82.8898	74.3450	83.7961	82.1414
10	lsun	45.0638	87.0654	78.4450	88.1815	86.0622
20	svhn	8.2317	76.2696	71.7411	80.2435	67.3001
20	imagenet	26.3446	78.0089	70.6900	77.1970	76.4535
20	lsun	34.6458	83.7271	75.8450	84.9650	82.0327
30	svhn	5.7363	73.4149	69.8475	76.4254	64.4622
30	imagenet	28.7696	81.9520	74.2350	83.8732	79.1327
30	lsun	35.8773	85.8119	77.9650	87.7034	82.9715
40	svhn	9.4567	76.9684	71.9904	80.3018	68.7954
40	imagenet	29.2039	82.9046	75.4350	84.6173	79.3433
40	lsun	35.0799	85.7997	78.0250	87.5768	82.8812
50	svhn	15.8024	81.6046	76.0382	85.3576	75.1484
50	imagenet	19.8019	79.3831	72.7950	81.6384	74.4816
50	lsun	23.4088	82.0171	75.2100	84.1151	77.1425
60	svhn	3.6714	74.4102	71.9088	79.2979	63.6169
60	imagenet	16.1575	76.8509	70.5800	78.5689	71.4741
60	lsun	16.3266	78.6908	72.7100	81.0347	72.5565
70	svhn	8.5576	73.8333	73.0844	79.9830	65.0144
70	imagenet	17.9081	78.3799	72.0950	79.1845	73.0419
70	lsun	24.1269	81.6835	74.6250	83.1438	77.1731
80	svhn	8.0768	73.8776	73.8181	80.4903	64.5098
80	imagenet	25.6835	81.0157	73.9000	82.1165	77.2072
80	lsun	33.0695	83.7231	75.1200	84.6251	80.9167
90	svhn	9.0281	73.7969	73.1794	80.2577	64.7754
90	imagenet	15.4416	78.4228	73.3200	81.0280	72.1641
90	lsun	20.6719	81.5057	74.9600	84.0913	76.2303
100	svhn	7.0293	74.5121	74.6317	81.2531	64.3341
100	imagenet	18.7010	78.5496	72.2500	79.8070	73.7879
100	lsun	24.3274	81.3890	74.2800	82.8635	77.4731
