Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	8.6896	72.7794	71.4736	79.6748	64.1072
10	imagenet	36.6008	81.0743	72.8350	81.2789	81.0258
10	lsun	43.0273	84.8254	75.8950	85.6908	84.5319
20	svhn	11.8751	75.9829	70.5605	80.2202	68.6093
20	imagenet	28.2452	80.3994	72.7950	81.5472	78.6354
20	lsun	28.4066	81.6159	74.1550	83.4685	79.2330
30	svhn	8.9882	77.9810	73.5416	81.8037	68.8772
30	imagenet	26.9107	78.4797	71.4250	77.4421	76.3412
30	lsun	32.4737	83.6157	75.9400	84.8020	80.6513
40	svhn	3.3515	69.3503	68.8916	76.1753	59.2953
40	imagenet	28.4927	82.3318	74.9550	84.2498	78.6754
40	lsun	33.0180	84.4865	76.7650	86.2135	81.1250
50	svhn	3.7453	76.6273	73.4302	82.0876	65.8070
50	imagenet	28.7248	82.8966	75.1000	84.2565	79.4692
50	lsun	31.3696	84.5230	76.6450	85.8877	81.2043
60	svhn	8.0213	75.4491	71.5615	80.2630	66.4580
60	imagenet	19.2388	79.4195	73.0350	81.4661	74.2471
60	lsun	23.9045	82.2123	75.2750	84.3986	77.1664
70	svhn	9.6848	71.3853	69.0809	75.7254	64.9677
70	imagenet	15.1127	80.8096	75.7600	83.3285	73.7005
70	lsun	17.0170	82.6176	78.1850	85.3133	75.4653
80	svhn	16.9991	78.1863	73.2713	81.8736	72.4659
80	imagenet	12.2180	80.4155	75.6500	83.1968	72.3389
80	lsun	12.9920	81.6951	77.5900	84.7026	73.5971
90	svhn	19.3083	78.0233	73.0484	82.2480	73.2267
90	imagenet	6.2944	76.6741	75.5800	81.6271	66.3378
90	lsun	5.4582	76.9770	77.6150	82.7547	65.8804
100	svhn	15.1751	79.2418	72.7061	82.3016	73.7480
100	imagenet	5.5354	73.0054	75.7050	80.1510	62.2161
100	lsun	4.4579	72.0006	76.9400	80.3223	60.3286
