Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	svhn	9.0254	75.6022	73.1542	81.9161	66.9129
10	imagenet	31.7393	78.6034	71.2950	76.8288	78.8396
10	lsun	43.6861	86.4366	78.0600	87.0094	85.8240
20	svhn	11.5602	76.3072	71.2732	78.8558	68.9739
20	imagenet	23.6845	76.6979	69.9200	75.0453	74.7874
20	lsun	31.9736	83.1926	75.6450	84.2522	80.9624
30	svhn	1.0924	66.4346	66.5188	74.5663	56.2128
30	imagenet	20.5347	75.8753	69.1650	77.6016	72.9770
30	lsun	28.7100	81.7854	73.9650	83.6664	78.8038
40	svhn	2.2028	67.1576	64.9465	72.4836	57.9141
40	imagenet	42.8421	86.6228	77.9200	87.7659	85.2000
40	lsun	52.4671	88.8676	79.9500	89.5118	88.0136
50	svhn	3.2541	63.6280	62.3328	68.4434	56.0751
50	imagenet	33.9112	83.8417	75.8050	85.4149	80.5529
50	lsun	50.3261	88.9811	80.8750	89.8610	86.4341
60	svhn	7.1913	75.9702	72.2691	80.0181	66.9362
60	imagenet	22.0322	79.5052	72.8000	79.5108	74.4640
60	lsun	26.5190	82.1875	75.1050	82.9388	77.3978
70	svhn	13.0025	73.0035	68.4175	76.5296	67.2890
70	imagenet	14.6400	80.1193	74.6100	82.8766	72.4483
70	lsun	21.7332	84.1627	77.6300	86.7937	77.1554
80	svhn	6.0251	70.0562	67.1401	73.5372	62.2715
80	imagenet	24.9633	82.6846	75.6750	84.6712	77.3246
80	lsun	33.9722	86.2946	78.7500	88.0395	81.7488
90	svhn	8.5996	74.3241	67.8212	77.2701	67.6772
90	imagenet	16.0536	80.0888	75.0150	83.4282	72.7325
90	lsun	22.4864	82.4094	76.8700	85.7852	75.7950
100	svhn	18.0304	78.1762	70.9636	80.0716	72.9537
100	imagenet	9.0456	77.6709	75.9750	82.7153	68.3256
100	lsun	10.8456	78.2535	77.5150	83.8684	69.2666
