Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	92.1537	98.6907	93.8196	98.7189	98.7114
10	imagenet	99.6514	99.9204	98.7474	99.9217	99.9183
10	lsun	99.8116	99.9607	99.3376	99.9621	99.9577
20	cifar10	91.4638	98.6721	93.6927	98.6936	98.7242
20	imagenet	99.9227	99.9847	99.7289	99.9868	99.9811
20	lsun	99.9900	99.9921	99.9196	99.9944	99.9878
30	cifar10	86.3778	98.0433	92.7144	98.0245	98.0186
30	imagenet	99.8011	99.9732	99.6520	99.9716	99.9759
30	lsun	99.9843	99.9965	99.9439	99.9961	99.9971
40	cifar10	85.0919	97.7647	92.5940	97.8428	97.6265
40	imagenet	99.8813	99.9782	99.6582	99.9763	99.9811
40	lsun	99.9900	99.9968	99.9035	99.9967	99.9971
50	cifar10	67.0274	94.9230	88.4826	95.5136	94.3711
50	imagenet	99.7335	99.9540	99.4482	99.9495	99.9597
50	lsun	99.9619	99.9929	99.8681	99.9924	99.9935
60	cifar10	81.3498	97.4508	91.9918	97.6498	97.2735
60	imagenet	99.8556	99.9772	99.7831	99.9779	99.9759
60	lsun	99.9900	99.9928	99.9573	99.9943	99.9900
70	cifar10	78.8734	97.1278	91.8162	97.2392	96.8701
70	imagenet	99.8359	99.9600	99.6885	99.9370	99.9264
70	lsun	99.9900	99.9808	99.9185	99.9890	99.9432
80	cifar10	78.9454	94.4302	92.3049	94.7235	96.8971
80	imagenet	99.7908	99.9586	99.6136	99.9255	99.9192
80	lsun	99.9900	99.9719	99.8681	99.9779	99.9386
90	cifar10	76.0166	97.1799	91.9320	93.3240	96.4269
90	imagenet	99.6564	99.8853	99.4820	99.8838	99.9041
90	lsun	99.9666	99.9789	99.8593	99.9761	99.9302
100	cifar10	75.1127	96.7979	90.4767	93.3397	95.9991
100	imagenet	99.6173	99.8609	99.2149	99.7832	99.6710
100	lsun	99.9377	99.9116	99.6840	99.9440	99.7144
