Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	93.9827	99.1166	94.6657	99.1371	99.1489
10	imagenet	99.7122	99.9609	99.4920	99.9612	99.9557
10	lsun	99.9271	99.9877	99.8473	99.9892	99.9769
20	cifar10	87.2641	98.1362	92.9241	98.2893	98.1204
20	imagenet	99.8701	99.9792	99.6470	99.9783	99.9807
20	lsun	99.9725	99.9948	99.9346	99.9941	99.9957
30	cifar10	86.8174	98.1373	93.0989	98.2908	98.0503
30	imagenet	99.9324	99.9896	99.8016	99.9890	99.9906
30	lsun	99.9729	99.9974	99.9542	99.9974	99.9976
40	cifar10	73.4322	96.2626	90.3985	96.5123	95.8223
40	imagenet	99.8242	99.9740	99.6508	99.9722	99.9770
40	lsun	99.9465	99.9931	99.8689	99.9928	99.9937
50	cifar10	60.5443	94.2968	88.3477	95.2524	92.8017
50	imagenet	97.5527	99.6210	96.6171	99.6000	99.6501
50	lsun	98.1690	99.7170	97.2073	99.7118	99.7352
60	cifar10	72.5436	96.2480	90.9457	96.8744	95.7732
60	imagenet	99.5616	99.9312	99.1793	99.9061	99.9383
60	lsun	99.8150	99.9769	99.6020	99.9759	99.9786
70	cifar10	68.2696	96.1815	90.3671	92.8173	95.2014
70	imagenet	99.4906	99.9290	99.0878	99.8370	99.9317
70	lsun	99.7498	99.9648	99.4105	99.9137	99.9664
80	cifar10	62.7992	95.6349	87.5148	86.0791	94.0296
80	imagenet	99.3321	99.6658	98.8429	99.6713	93.1685
80	lsun	99.4913	99.8957	99.0648	99.8311	94.6311
90	cifar10	63.9941	83.1689	87.3106	84.7132	94.6176
90	imagenet	99.4321	99.8765	98.9756	99.7258	99.9264
90	lsun	99.7329	99.9066	99.2467	99.8668	99.9582
100	cifar10	69.1026	96.1328	88.4121	88.7952	95.2968
100	imagenet	99.6511	99.9491	99.2983	99.8576	99.8019
100	lsun	99.8910	99.8428	99.5121	99.9388	99.8423
