Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	94.1777	99.1066	94.7904	99.1431	99.1203
10	imagenet	99.9037	99.9797	99.5616	99.9794	99.9803
10	lsun	99.9632	99.9919	99.8293	99.9925	99.9913
20	cifar10	76.5479	96.7465	91.2987	97.2837	96.3480
20	imagenet	99.3988	99.9166	98.8760	99.9132	99.9230
20	lsun	99.7787	99.9643	99.4647	99.9623	99.9676
30	cifar10	92.6673	98.8353	94.1073	98.8160	98.8594
30	imagenet	99.9481	99.9883	99.7758	99.9882	99.9888
30	lsun	100.0000	99.9983	99.9616	99.9987	99.9981
40	cifar10	87.3646	98.2106	93.0890	98.3707	98.1347
40	imagenet	99.8373	99.9758	99.7316	99.9764	99.9706
40	lsun	100.0000	99.9961	99.9397	99.9978	99.9903
50	cifar10	70.7101	96.0829	91.0088	96.8546	95.4004
50	imagenet	99.6465	99.9485	99.2613	99.9464	99.9526
50	lsun	99.9403	99.9908	99.7639	99.9905	99.9913
60	cifar10	80.0028	97.2555	92.0550	97.6549	96.9382
60	imagenet	99.8301	99.9699	99.5016	99.9679	99.9730
60	lsun	99.9576	99.9950	99.8116	99.9949	99.9952
70	cifar10	86.9821	98.0911	93.2180	97.8105	97.8529
70	imagenet	99.8315	99.9597	99.4898	99.9379	99.2808
70	lsun	99.9818	99.9833	99.8035	99.9926	99.2650
80	cifar10	91.3446	98.7573	94.1718	98.3775	98.7263
80	imagenet	99.8642	99.9331	99.5940	99.9576	99.9803
80	lsun	100.0000	99.9526	99.8516	99.9985	99.9985
90	cifar10	86.5672	98.1839	93.0862	96.2284	97.9498
90	imagenet	99.7981	99.9523	99.4594	99.9503	99.9720
90	lsun	99.9815	99.9759	99.7866	99.9946	99.9947
100	cifar10	87.7737	96.9700	93.2245	97.0486	97.7738
100	imagenet	99.7492	99.8413	99.2354	99.9430	96.1941
100	lsun	99.9522	99.8705	99.5160	99.9834	94.0849
