Checkpoint	Out Dataset	TNR at TPR 95%	AUROC	Detection Accuracy	AUPR In	AUPR Out
10	cifar10	97.3139	99.5426	96.5177	99.5447	99.5569
10	imagenet	99.9512	99.9912	99.7970	99.9914	99.9912
10	lsun	99.9965	99.9977	99.9377	99.9981	99.9974
20	cifar10	88.5856	98.3520	93.3872	98.4941	98.3180
20	imagenet	99.8725	99.9810	99.5863	99.9803	99.9823
20	lsun	99.9900	99.9971	99.8727	99.9968	99.9974
30	cifar10	88.6804	98.3401	93.3137	98.4819	98.2670
30	imagenet	99.8421	99.9714	99.5693	99.9696	99.9743
30	lsun	99.9800	99.9971	99.8816	99.9970	99.9973
40	cifar10	78.4704	96.8216	90.7676	97.0584	96.6752
40	imagenet	99.7356	99.9599	99.5924	99.9575	99.9640
40	lsun	99.9900	99.9944	99.8920	99.9940	99.9950
50	cifar10	64.7855	95.2909	90.1752	96.2214	93.7965
50	imagenet	99.2520	99.8835	98.4812	99.8795	99.8921
50	lsun	99.5586	99.9324	99.0106	99.9296	99.9375
60	cifar10	63.9246	95.1289	89.5575	95.0853	93.9990
60	imagenet	99.0408	99.8377	98.1411	99.8325	99.8589
60	lsun	99.4829	99.8992	98.5542	99.8683	99.9086
70	cifar10	58.9015	94.4144	88.1354	93.2914	92.8362
70	imagenet	98.7233	99.6677	97.6303	99.6960	99.7641
70	lsun	99.3500	99.7561	98.3031	99.8481	99.8573
80	cifar10	63.0534	95.2995	88.7897	90.7797	82.0439
80	imagenet	99.2698	99.7427	98.0721	99.7539	95.9121
80	lsun	99.6033	99.8004	98.7939	99.9055	94.9045
90	cifar10	69.9980	96.5536	90.0297	89.6131	95.4549
90	imagenet	99.5378	99.8529	98.5803	99.7657	99.9155
90	lsun	99.7974	99.8988	99.2545	99.9238	99.9645
100	cifar10	70.0937	88.2697	89.8825	89.0438	95.5187
100	imagenet	99.3985	99.8372	98.2650	99.7277	99.8858
100	lsun	99.7513	99.8921	98.9311	99.9142	99.9443
