,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,50.96 $\pm$ 8.31,85.46 $\pm$ 2.24,76.4 $\pm$ 2.17,85.13 $\pm$ 1.6,86.15 $\pm$ 3.08
1,20,19.08 $\pm$ 2.14,77.52 $\pm$ 0.93,71.29 $\pm$ 0.78,78.75 $\pm$ 1.09,72.99 $\pm$ 1.2
2,30,16.82 $\pm$ 1.92,78.09 $\pm$ 1.12,72.01 $\pm$ 1.13,78.18 $\pm$ 2.66,72.14 $\pm$ 1.62
3,40,18.89 $\pm$ 2.31,78.25 $\pm$ 0.66,71.32 $\pm$ 0.69,76.6 $\pm$ 1.91,73.09 $\pm$ 1.23
4,50,16.86 $\pm$ 1.07,78.0 $\pm$ 1.37,71.46 $\pm$ 1.81,75.94 $\pm$ 2.99,71.8 $\pm$ 1.38
5,60,16.61 $\pm$ 2.92,74.85 $\pm$ 4.88,71.23 $\pm$ 1.78,73.93 $\pm$ 3.68,71.92 $\pm$ 2.65
6,70,17.22 $\pm$ 2.8,82.59 $\pm$ 0.39,71.61 $\pm$ 2.07,68.85 $\pm$ 3.06,74.27 $\pm$ 1.87
7,80,17.69 $\pm$ 1.73,83.62 $\pm$ 0.16,70.8 $\pm$ 1.08,67.08 $\pm$ 1.55,74.32 $\pm$ 1.1
8,90,16.72 $\pm$ 1.32,84.79 $\pm$ 0.49,67.72 $\pm$ 0.23,63.1 $\pm$ 0.27,74.18 $\pm$ 0.8
9,100,16.54 $\pm$ 2.19,84.12 $\pm$ 1.57,68.13 $\pm$ 1.35,63.91 $\pm$ 1.9,73.48 $\pm$ 1.75
