,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,53.17 $\pm$ 9.82,87.71 $\pm$ 2.5,78.47 $\pm$ 2.2,88.24 $\pm$ 1.89,87.4 $\pm$ 3.52
1,20,19.47 $\pm$ 2.35,78.64 $\pm$ 1.57,72.51 $\pm$ 1.11,80.5 $\pm$ 1.31,73.7 $\pm$ 1.91
2,30,18.93 $\pm$ 2.24,79.83 $\pm$ 1.1,73.79 $\pm$ 0.92,80.67 $\pm$ 2.21,73.95 $\pm$ 1.72
3,40,22.48 $\pm$ 0.25,81.37 $\pm$ 0.5,74.58 $\pm$ 0.3,82.02 $\pm$ 0.51,76.59 $\pm$ 0.78
4,50,17.83 $\pm$ 1.76,79.52 $\pm$ 0.88,73.54 $\pm$ 0.82,79.1 $\pm$ 1.19,73.08 $\pm$ 1.34
5,60,16.75 $\pm$ 1.09,78.91 $\pm$ 1.59,72.44 $\pm$ 1.65,75.99 $\pm$ 1.52,72.59 $\pm$ 1.55
6,70,17.36 $\pm$ 1.42,83.24 $\pm$ 0.2,73.65 $\pm$ 1.37,71.36 $\pm$ 2.38,74.88 $\pm$ 0.98
7,80,17.56 $\pm$ 1.29,84.2 $\pm$ 0.32,73.02 $\pm$ 0.7,69.62 $\pm$ 1.23,74.94 $\pm$ 0.82
8,90,16.71 $\pm$ 1.66,85.31 $\pm$ 0.51,70.39 $\pm$ 0.35,65.68 $\pm$ 0.14,75.29 $\pm$ 0.81
9,100,15.79 $\pm$ 2.5,84.46 $\pm$ 1.71,70.2 $\pm$ 1.31,65.93 $\pm$ 1.93,73.97 $\pm$ 1.64
