,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,45.95 $\pm$ 9.38,84.24 $\pm$ 4.44,75.2 $\pm$ 3.85,84.47 $\pm$ 4.43,84.66 $\pm$ 4.34
1,20,20.84 $\pm$ 5.78,78.21 $\pm$ 2.17,71.76 $\pm$ 1.55,79.18 $\pm$ 3.27,73.65 $\pm$ 2.8
2,30,21.08 $\pm$ 2.64,78.99 $\pm$ 2.18,72.9 $\pm$ 1.31,80.38 $\pm$ 1.62,74.91 $\pm$ 2.05
3,40,18.82 $\pm$ 2.53,79.23 $\pm$ 0.82,73.13 $\pm$ 0.69,79.97 $\pm$ 1.78,73.31 $\pm$ 0.91
4,50,23.19 $\pm$ 2.47,78.52 $\pm$ 3.24,72.33 $\pm$ 1.54,78.42 $\pm$ 2.28,75.24 $\pm$ 1.84
5,60,15.45 $\pm$ 2.3,76.76 $\pm$ 2.69,69.78 $\pm$ 2.98,71.96 $\pm$ 3.96,70.28 $\pm$ 3.23
6,70,14.81 $\pm$ 0.02,81.48 $\pm$ 0.15,70.03 $\pm$ 0.99,66.78 $\pm$ 1.36,72.08 $\pm$ 0.2
7,80,15.21 $\pm$ 2.49,84.31 $\pm$ 0.59,68.12 $\pm$ 2.22,63.6 $\pm$ 2.33,73.2 $\pm$ 2.0
8,90,14.48 $\pm$ 2.41,84.66 $\pm$ 1.28,66.54 $\pm$ 2.26,61.9 $\pm$ 2.03,72.5 $\pm$ 2.99
9,100,15.48 $\pm$ 2.46,85.45 $\pm$ 0.64,67.1 $\pm$ 3.53,62.46 $\pm$ 3.44,73.64 $\pm$ 2.53
