,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,13.74 $\pm$ 1.02,79.54 $\pm$ 1.06,76.8 $\pm$ 1.21,85.06 $\pm$ 1.01,71.27 $\pm$ 1.01
1,20,13.61 $\pm$ 2.4,79.02 $\pm$ 1.6,75.54 $\pm$ 1.39,84.11 $\pm$ 1.0,71.21 $\pm$ 2.53
2,30,15.47 $\pm$ 2.23,80.35 $\pm$ 0.95,75.68 $\pm$ 0.98,84.07 $\pm$ 1.44,72.73 $\pm$ 1.61
3,40,8.94 $\pm$ 1.66,76.84 $\pm$ 1.07,73.62 $\pm$ 0.69,80.48 $\pm$ 1.35,67.38 $\pm$ 1.31
4,50,9.42 $\pm$ 3.92,76.7 $\pm$ 2.14,73.56 $\pm$ 1.35,81.07 $\pm$ 1.94,67.74 $\pm$ 3.25
5,60,16.41 $\pm$ 2.93,82.19 $\pm$ 1.82,77.82 $\pm$ 1.68,84.61 $\pm$ 2.75,74.09 $\pm$ 2.14
6,70,22.94 $\pm$ 7.37,84.84 $\pm$ 2.32,76.96 $\pm$ 3.62,76.92 $\pm$ 6.33,78.02 $\pm$ 4.17
7,80,20.4 $\pm$ 4.55,86.24 $\pm$ 0.96,74.59 $\pm$ 4.31,71.08 $\pm$ 5.43,77.77 $\pm$ 2.65
8,90,25.1 $\pm$ 10.21,87.6 $\pm$ 1.65,75.46 $\pm$ 5.2,72.32 $\pm$ 7.39,80.53 $\pm$ 4.93
9,100,21.45 $\pm$ 5.3,87.07 $\pm$ 1.32,73.55 $\pm$ 3.49,69.03 $\pm$ 3.88,77.63 $\pm$ 2.54
