,Epoch,Test acc MEAN,Test acc STD,Test Acc
0,10,78.27999999999999,0.1314026889628481,78.28 $\pm$ 0.13
1,20,79.37666666666667,0.5852255025961268,79.38 $\pm$ 0.59
2,30,80.27,0.45745673748089327,80.27 $\pm$ 0.46
3,40,80.28666666666668,0.49046463231873966,80.29 $\pm$ 0.49
4,50,79.64,0.46504480070921006,79.64 $\pm$ 0.47
5,60,80.41333333333333,0.4212943019895824,80.41 $\pm$ 0.42
6,70,81.71666666666665,0.3544322533605301,81.72 $\pm$ 0.35
7,80,81.74333333333333,0.3242769735204051,81.74 $\pm$ 0.32
8,90,81.61,0.3024345659256979,81.61 $\pm$ 0.3
9,100,81.59,0.19646882704388088,81.59 $\pm$ 0.2
