,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,46.54 $\pm$ 4.91,86.26 $\pm$ 1.81,77.01 $\pm$ 1.63,87.16 $\pm$ 1.84,85.91 $\pm$ 1.9
1,20,21.99 $\pm$ 6.1,79.19 $\pm$ 2.57,72.88 $\pm$ 1.91,81.04 $\pm$ 3.34,74.69 $\pm$ 3.02
2,30,22.92 $\pm$ 2.01,81.1 $\pm$ 1.08,74.71 $\pm$ 0.56,82.88 $\pm$ 1.03,76.51 $\pm$ 1.32
3,40,18.94 $\pm$ 1.38,79.7 $\pm$ 0.49,73.54 $\pm$ 0.35,80.31 $\pm$ 0.91,73.54 $\pm$ 0.22
4,50,26.73 $\pm$ 3.71,81.83 $\pm$ 1.91,74.37 $\pm$ 1.89,81.48 $\pm$ 3.21,77.34 $\pm$ 1.05
5,60,17.68 $\pm$ 1.4,79.43 $\pm$ 1.81,73.17 $\pm$ 1.92,77.45 $\pm$ 2.45,73.05 $\pm$ 2.15
6,70,14.95 $\pm$ 1.0,82.4 $\pm$ 0.35,72.88 $\pm$ 0.39,70.22 $\pm$ 0.76,73.08 $\pm$ 0.6
7,80,14.72 $\pm$ 2.55,84.73 $\pm$ 0.61,70.51 $\pm$ 1.8,65.91 $\pm$ 2.12,73.83 $\pm$ 1.72
8,90,13.14 $\pm$ 2.89,84.87 $\pm$ 1.18,68.78 $\pm$ 2.34,63.91 $\pm$ 2.27,72.68 $\pm$ 2.6
9,100,14.51 $\pm$ 2.66,85.54 $\pm$ 0.62,68.54 $\pm$ 2.96,63.66 $\pm$ 3.02,73.47 $\pm$ 2.09
