,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,43.03 $\pm$ 3.36,83.21 $\pm$ 0.66,74.42 $\pm$ 0.45,82.91 $\pm$ 1.0,83.93 $\pm$ 0.99
1,20,48.4 $\pm$ 24.17,85.03 $\pm$ 9.44,76.96 $\pm$ 8.82,83.49 $\pm$ 11.59,84.38 $\pm$ 10.44
2,30,32.47 $\pm$ 10.31,82.89 $\pm$ 3.44,74.8 $\pm$ 2.73,83.02 $\pm$ 4.67,80.54 $\pm$ 4.58
3,40,26.43 $\pm$ 12.04,80.58 $\pm$ 5.53,74.75 $\pm$ 2.74,80.69 $\pm$ 4.79,78.18 $\pm$ 6.15
4,50,21.86 $\pm$ 6.96,80.11 $\pm$ 3.1,73.21 $\pm$ 2.96,78.69 $\pm$ 5.16,75.46 $\pm$ 4.85
5,60,16.34 $\pm$ 0.38,78.33 $\pm$ 1.93,71.7 $\pm$ 1.22,74.87 $\pm$ 0.57,71.89 $\pm$ 1.34
6,70,18.62 $\pm$ 2.12,83.71 $\pm$ 0.61,73.02 $\pm$ 1.65,70.31 $\pm$ 2.27,75.68 $\pm$ 1.67
7,80,26.39 $\pm$ 4.93,86.78 $\pm$ 0.89,75.41 $\pm$ 3.01,72.94 $\pm$ 4.35,80.17 $\pm$ 2.77
8,90,28.88 $\pm$ 4.14,73.35 $\pm$ 10.52,76.03 $\pm$ 2.43,74.65 $\pm$ 4.95,81.36 $\pm$ 1.9
9,100,30.66 $\pm$ 3.86,88.24 $\pm$ 0.73,76.26 $\pm$ 1.79,73.35 $\pm$ 2.67,82.31 $\pm$ 1.81
