,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,45.95 $\pm$ 6.95,85.96 $\pm$ 2.02,76.96 $\pm$ 2.05,86.76 $\pm$ 1.82,85.81 $\pm$ 2.36
1,20,51.94 $\pm$ 19.18,87.86 $\pm$ 6.56,79.86 $\pm$ 5.22,88.47 $\pm$ 6.14,87.44 $\pm$ 7.17
2,30,35.28 $\pm$ 10.47,84.83 $\pm$ 2.8,77.08 $\pm$ 1.93,85.85 $\pm$ 2.87,82.28 $\pm$ 4.07
3,40,28.82 $\pm$ 12.91,83.34 $\pm$ 3.88,76.0 $\pm$ 2.88,82.4 $\pm$ 4.52,79.54 $\pm$ 6.16
4,50,25.95 $\pm$ 9.75,82.39 $\pm$ 4.03,75.33 $\pm$ 3.64,81.91 $\pm$ 5.68,78.04 $\pm$ 5.86
5,60,19.16 $\pm$ 0.73,80.48 $\pm$ 1.94,73.88 $\pm$ 1.81,78.73 $\pm$ 1.55,74.79 $\pm$ 1.69
6,70,19.99 $\pm$ 2.48,80.88 $\pm$ 3.98,76.51 $\pm$ 1.53,76.1 $\pm$ 1.46,77.29 $\pm$ 1.94
7,80,27.03 $\pm$ 4.1,86.93 $\pm$ 0.73,77.37 $\pm$ 2.51,76.99 $\pm$ 5.13,80.71 $\pm$ 2.17
8,90,31.75 $\pm$ 3.89,88.63 $\pm$ 0.45,78.25 $\pm$ 2.05,76.65 $\pm$ 3.79,82.82 $\pm$ 1.48
9,100,32.47 $\pm$ 4.68,87.97 $\pm$ 1.17,78.54 $\pm$ 1.09,78.78 $\pm$ 3.55,83.09 $\pm$ 1.7
