,Epoch,TNR at TPR 95%,AUROC,Detection Accuracy,AUPR In,AUPR Out
0,10,6.75 $\pm$ 0.91,74.7 $\pm$ 1.61,73.53 $\pm$ 0.44,81.66 $\pm$ 0.85,64.57 $\pm$ 1.84
1,20,14.24 $\pm$ 12.92,77.76 $\pm$ 5.99,73.5 $\pm$ 3.97,82.72 $\pm$ 4.41,70.12 $\pm$ 9.03
2,30,11.03 $\pm$ 7.7,76.02 $\pm$ 5.73,72.16 $\pm$ 4.49,79.49 $\pm$ 5.41,67.98 $\pm$ 6.83
3,40,16.32 $\pm$ 1.94,80.83 $\pm$ 1.08,76.32 $\pm$ 0.03,83.14 $\pm$ 0.74,74.05 $\pm$ 1.47
4,50,14.41 $\pm$ 2.01,80.22 $\pm$ 1.61,75.68 $\pm$ 1.92,82.64 $\pm$ 2.25,72.28 $\pm$ 1.8
5,60,16.71 $\pm$ 2.95,81.17 $\pm$ 1.86,75.6 $\pm$ 1.27,81.47 $\pm$ 0.63,73.91 $\pm$ 2.54
6,70,16.44 $\pm$ 1.4,78.99 $\pm$ 6.6,76.78 $\pm$ 0.74,76.38 $\pm$ 2.21,75.25 $\pm$ 1.13
7,80,13.62 $\pm$ 2.46,75.27 $\pm$ 12.74,72.21 $\pm$ 2.03,68.04 $\pm$ 2.23,72.79 $\pm$ 2.39
8,90,16.94 $\pm$ 3.07,85.45 $\pm$ 1.62,74.03 $\pm$ 2.73,70.15 $\pm$ 3.0,75.43 $\pm$ 2.8
9,100,18.44 $\pm$ 4.5,85.16 $\pm$ 1.9,73.91 $\pm$ 3.49,70.67 $\pm$ 4.33,76.0 $\pm$ 3.54
